episode_reward_max,episode_reward_min,episode_reward_mean,episode_len_mean,episodes_this_iter,timesteps_this_iter,done,timesteps_total,episodes_total,training_iteration,experiment_id,date,timestamp,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,num_healthy_workers,trial_id,sampler_perf/mean_env_wait_ms,sampler_perf/mean_processing_ms,sampler_perf/mean_inference_ms,info/num_steps_trained,info/num_steps_sampled,info/sample_time_ms,info/load_time_ms,info/grad_time_ms,info/update_time_ms,perf/cpu_util_percent,perf/ram_util_percent,info/learner/default_policy/cur_kl_coeff,info/learner/default_policy/cur_lr,info/learner/default_policy/total_loss,info/learner/default_policy/policy_loss,info/learner/default_policy/vf_loss,info/learner/default_policy/vf_explained_var,info/learner/default_policy/kl,info/learner/default_policy/entropy,info/learner/default_policy/entropy_coeff
-10.281141458138633,-259.385190113775,-84.63961308756319,15.0,12,180,False,3960,264,22,5237459562a741d08b9792a35dd2d2a4,2020-01-25_19-05-12,1580007912,91.19006729125977,1518.7948288917542,22472,kadiaz-Inspiron-7472,192.168.0.13,91.19006729125977,180,1,4,6624c118,876.571086437806,195.49619374067882,5.427674106929614,3960,3960,87505.84,76.844,2330.422,1222.674,43.170992366412214,42.34122137404581,0.675000011920929,0.0005000000237487257,-0.1854134202003479,-0.199123814702034,1911.9287109375,-0.0003877878189086914,0.020283350721001625,23.506919860839844,0.0
-9.166020020456992,-259.385190113775,-83.48827354584633,15.0,12,180,False,4140,276,23,5237459562a741d08b9792a35dd2d2a4,2020-01-25_19-06-08,1580007968,55.55248689651489,1574.347315788269,22472,kadiaz-Inspiron-7472,192.168.0.13,146.74255418777466,360,2,4,6624c118,893.7314858618274,189.85305845424196,4.607571919910998,4140,4140,71170.206,39.057,1518.116,613.872,54.49746835443038,49.48354430379745,0.20000000298023224,0.0005000000237487257,-0.19110985100269318,-0.19835898280143738,2132.129638671875,-0.000747978687286377,0.03613907843828201,23.406864166259766,0.0
-9.166020020456992,-259.41208202356887,-95.78372887634434,15.0,12,180,False,4320,288,24,5237459562a741d08b9792a35dd2d2a4,2020-01-25_19-07-11,1580008031,62.64327788352966,1636.9905936717987,22472,kadiaz-Inspiron-7472,192.168.0.13,209.38583207130432,540,3,4,6624c118,921.3302914317496,190.76257219877087,4.161534119376914,4320,4320,68082.734,26.461,1253.493,410.793,55.52022471910112,50.20337078651685,0.20000000298023224,0.0005000000237487257,-0.210288405418396,-0.2173868715763092,3300.455810546875,-0.0006608664989471436,0.03532731533050537,23.399948120117188,0.0
-9.166020020456992,-259.41208202356887,-88.36836679364274,15.0,12,180,False,4500,300,25,5237459562a741d08b9792a35dd2d2a4,2020-01-25_19-08-09,1580008089,58.028364419937134,1695.0189580917358,22472,kadiaz-Inspiron-7472,192.168.0.13,267.41419649124146,720,4,4,6624c118,935.1437364769348,189.2556641166419,3.8726876082506685,4500,4500,65374.341,20.172,1132.082,309.235,52.45060240963856,50.74819277108434,0.20000000298023224,0.0005000000237487257,-0.17765606939792633,-0.18501050770282745,1821.65234375,-0.00030922889709472656,0.036681123077869415,23.27907371520996,0.0
-9.166020020456992,-265.4209337951843,-100.27191920877856,15.0,12,180,False,4680,312,26,5237459562a741d08b9792a35dd2d2a4,2020-01-25_19-09-20,1580008160,70.86686587333679,1765.8858239650726,22472,kadiaz-Inspiron-7472,192.168.0.13,338.28106236457825,900,5,4,6624c118,952.7802606051068,190.18021917564408,3.666900877390654,4680,4680,66329.741,16.4,1046.578,248.303,53.262376237623755,51.29108910891089,0.20000000298023224,0.0005000000237487257,-0.2091406285762787,-0.2167263627052307,3666.580322265625,-0.0008323788642883301,0.03774534910917282,23.323625564575195,0.0
-9.166020020456992,-265.4209337951843,-108.14644862956023,15.0,12,180,False,4860,324,27,5237459562a741d08b9792a35dd2d2a4,2020-01-25_19-10-31,1580008231,71.0328631401062,1836.9186871051788,22472,kadiaz-Inspiron-7472,192.168.0.13,409.31392550468445,1080,6,4,6624c118,969.7369375689138,191.26511092006723,3.508482722618255,4860,4860,66998.371,13.842,985.708,207.527,52.794117647058826,51.8441176470588,0.20000000298023224,0.0005000000237487257,-0.2089947611093521,-0.21653524041175842,3448.758056640625,-0.0007351338863372803,0.03752996772527695,23.291189193725586,0.0
-9.166020020456992,-265.4209337951843,-104.87636613063354,15.0,12,180,False,5040,336,28,5237459562a741d08b9792a35dd2d2a4,2020-01-25_19-11-31,1580008291,60.04405117034912,1896.962738275528,22472,kadiaz-Inspiron-7472,192.168.0.13,469.35797667503357,1260,7,4,6624c118,981.9771260995344,192.7614712991664,3.3872374197680934,5040,5040,65900.493,12.035,947.706,178.466,56.47529411764705,52.36235294117644,0.20000000298023224,0.0005000000237487257,-0.19709432125091553,-0.20478643476963043,2278.9033203125,-0.0004132688045501709,0.03834660351276398,23.17027473449707,0.0
-9.166020020456992,-265.4209337951843,-108.086405534005,15.0,12,180,False,5220,348,29,5237459562a741d08b9792a35dd2d2a4,2020-01-25_19-12-40,1580008360,69.49711418151855,1966.4598524570465,22472,kadiaz-Inspiron-7472,192.168.0.13,538.8550908565521,1440,8,4,6624c118,992.4398910919193,194.479163082937,3.2861544146507993,5220,5220,66258.611,10.7,919.306,156.647,53.06161616161616,52.869696969696975,0.20000000298023224,0.0005000000237487257,-0.2004474699497223,-0.20875400304794312,2925.923828125,-0.0006280839443206787,0.04138626158237457,23.134613037109375,0.0
-9.166020020456992,-265.4209337951843,-111.49803629859855,15.0,12,180,False,5400,360,30,5237459562a741d08b9792a35dd2d2a4,2020-01-25_19-13-49,1580008429,69.09985113143921,2035.5597035884857,22472,kadiaz-Inspiron-7472,192.168.0.13,607.9549419879913,1620,9,4,6624c118,1011.2217467477989,195.063861126231,3.0132377789745872,5400,5400,66493.659,9.64,896.406,139.847,52.5969696969697,53.42626262626261,0.30000001192092896,0.0005000000237487257,-0.20325805246829987,-0.2142971158027649,3007.0224609375,-0.000566333532333374,0.03669670969247818,23.085205078125,0.0
-9.592239969115608,-265.4209337951843,-120.05998682036805,15.0,12,180,False,5580,372,31,5237459562a741d08b9792a35dd2d2a4,2020-01-25_19-14-57,1580008497,67.50995588302612,2103.069659471512,22472,kadiaz-Inspiron-7472,192.168.0.13,675.4648978710175,1800,10,4,6624c118,1034.6979856828261,198.08269140930926,2.793538295912595,5580,5580,66518.177,8.808,882.664,126.323,55.98645833333334,53.99687500000001,0.30000001192092896,0.0005000000237487257,-0.21113207936286926,-0.22225439548492432,3479.53125,-0.0004334747791290283,0.03695840388536453,23.088661193847656,0.0
