time,density,stop_time,speed,delay_time,travel_time,mean_queue,seed,
10800,6.23019749252,33.2056282898,39.254457221,43.6482,100.8805,66.7529,8704,
11700,6.0691017632,33.7580378757,39.846381673,43.5478,100.7563,65.1796,1448,
15300,0.419178344178,35.9085059894,37.8225168375,45.1278,102.1744,3.7609,8041,
10800,6.12279814425,34.665371819,39.1792858397,44.7774,101.8731,66.704,3217,
14400,5.99230680478,32.8955499925,40.1535270593,42.5329,99.922,66.2862,5098,
11700,6.07508601407,34.1129765813,39.3340095867,44.0848,101.3783,66.0969,8704,
12600,5.97388313535,34.9717708006,39.0945366166,45.1794,102.3787,65.1342,1448,
11700,5.99945079363,34.7803830472,39.308919036,44.7434,102.1002,64.8098,3217,
12600,6.09474464385,35.2834763749,39.1125147094,45.2027,102.2843,69.7271,8704,
13500,5.55409534479,33.4425244208,40.0560529542,42.8492,100.3636,59.3556,1448,
12600,5.5450878148,29.6710040987,41.4946412703,38.4629,96.1019,56.5911,3217,
13500,5.87833368452,35.0567078247,39.4156231465,44.8809,102.235,65.16,8704,
14400,5.9566007091,34.2072788412,39.7660518364,43.632,101.0197,65.8569,1448,
13500,6.30174342699,37.8002664793,38.2428225912,48.0776,105.6447,73.8151,3217,
14400,6.27036905173,37.5412939437,38.9982394132,47.3461,104.7616,74.6204,8704,
14400,6.3319788983,36.1019943737,39.3996023342,46.1236,103.2681,70.3262,3217,
15300,0.526051717368,37.9114538926,37.0625625454,48.4707,106.7249,4.4284,3217,
900,4.81503213093,25.587939693,42.4803790435,35.3088,92.5758,45.3884,7961,
900,4.74493428693,26.1903576941,42.122251425,36.2657,93.7461,44.3431,2773,
1800,6.13808097431,37.2959121671,38.1719236381,48.3773,105.8934,72.0996,7961,
900,4.91008333773,26.0976115597,42.5091129353,35.6671,92.956,46.4987,6730,
1800,6.36412400833,38.2750901679,38.1352866833,49.9973,107.4776,75.4809,2773,
2700,5.85246825418,30.8358369569,39.9555394391,41.3953,99.2466,59.8107,7961,
1800,5.59844893608,28.8348583473,40.7280549801,39.4689,96.7382,55.6187,6730,
900,5.18331994524,27.7984634842,41.0183448658,38.0187,95.5343,51.9742,5448,
2700,5.86691707701,31.2180531854,39.2872348292,43.665,101.383,60.6293,2773,
3600,5.36077664534,26.1674086551,41.8295766681,36.2293,93.6556,50.9324,7961,
2700,5.42239520421,27.8412045058,41.3332920892,37.6913,95.2898,52.6311,6730,
1800,5.54350771211,32.4326969068,39.7303022827,43.1402,100.5521,57.832,5448,
4500,5.14908687367,26.1473843429,42.5300902343,35.3684,92.7126,48.2196,7961,
3600,5.36779398805,26.5270063346,41.5047933756,36.7195,94.5553,51.5689,2773,
900,4.97314146035,26.9029601074,41.7680649766,36.7008,94.2695,48.3769,4553,
3600,5.56792265188,26.6095841638,41.5590497423,36.8947,94.5587,52.432,6730,
2700,5.91508537223,30.8609839688,40.2548366236,42.0011,99.3664,62.4578,5448,
4500,5.59370935849,28.0681329299,41.6965486183,37.8698,94.9721,53.4747,2773,
5400,5.21029498711,25.3326302039,43.0910659298,34.3918,91.861,47.1796,7961,
1800,6.12178318845,31.7732767117,40.1432587916,42.9581,100.1636,65.9804,4553,
4500,5.34140901123,25.2129555341,43.0930607549,34.3874,91.6621,48.5609,6730,
3600,5.50920179887,28.843017232,40.9440354919,39.0197,96.2997,55.0364,5448,
5400,5.14438055283,25.8882064343,42.7144660722,35.081,92.2269,46.9733,2773,
2700,5.85934978668,32.2130062265,39.5585810148,43.0403,100.3581,61.616,4553,
6300,5.5440596733,31.5536411001,40.7469088372,40.9621,97.8598,59.5538,7961,
5400,5.49935471732,26.2427772693,42.481320644,35.6444,92.7656,51.5858,6730,
4500,5.42300328868,26.1635694501,42.7896245552,35.2142,92.2512,51.0498,5448,
6300,5.6323483334,33.1986658779,39.8539067944,43.3331,100.631,62.4649,2773,
3600,5.42044228611,28.519622285,41.0592553935,38.6756,95.9868,53.4338,4553,
7200,5.50517572421,31.898426987,40.2196540857,41.5179,98.7482,57.9253,7961,
6300,5.44374518402,32.9441116879,40.471008388,42.5382,99.6621,59.344,6730,
5400,5.37792838267,25.3810290123,42.8423988875,34.69,91.7729,48.9831,5448,
4500,5.17935683892,25.9296217376,42.9464799257,35.1759,92.2419,48.176,4553,
7200,6.01233376978,31.6398879743,40.2409221775,41.519,98.5787,64.4418,2773,
8100,6.10311952596,33.8368649443,39.4870926044,44.0514,101.3791,66.8684,7961,
7200,5.76706525072,33.9458171925,39.5149320802,44.1313,101.6137,62.5093,6730,
5400,5.07154013837,25.1050508127,43.1066296359,34.4077,91.5375,46.3396,4553,
6300,5.83879670366,31.9699858017,40.5648878559,41.3754,98.6036,64.4969,5448,
8100,6.07124922311,36.4746704678,38.9394510235,46.5509,103.8507,69.4596,2773,
9000,5.76596357485,32.7283284914,39.993361625,42.4785,99.645,61.3013,7961,
8100,5.62868931568,32.526878343,39.9309251379,42.6861,99.8819,60.408,6730,
6300,5.95668756537,35.7301915641,38.8310807556,45.9959,103.2249,67.584,4553,
7200,5.91173248309,31.3905361282,40.5321863255,40.9639,98.2588,63.3404,5448,
9000,5.66854179475,33.7955113898,39.3646345291,43.8786,101.0945,60.4018,2773,
9900,6.24226438842,35.6664062483,38.9120696531,45.8526,102.794,70.5591,7961,
9000,5.81996739927,33.3495024055,39.7637553138,43.3844,100.2762,62.4293,6730,
