episode_reward_max,episode_reward_min,episode_reward_mean,episode_len_mean,episodes_this_iter,timesteps_this_iter,done,timesteps_total,episodes_total,training_iteration,experiment_id,timestamp,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,num_healthy_workers,trial_id,sampler_perf/mean_env_wait_ms,sampler_perf/mean_processing_ms,sampler_perf/mean_inference_ms,info/num_steps_trained,info/num_steps_sampled,info/sample_time_ms,info/load_time_ms,info/grad_time_ms,info/update_time_ms,perf/cpu_util_percent,perf/ram_util_percent,info/learner/default_policy/cur_kl_coeff,info/learner/default_policy/cur_lr,info/learner/default_policy/total_loss,info/learner/default_policy/policy_loss,info/learner/default_policy/vf_loss,info/learner/default_policy/vf_explained_var,info/learner/default_policy/kl,info/learner/default_policy/entropy,info/learner/default_policy/entropy_coeff
-8.580585027,-230.9270578,-123.8433166,15,40,900,FALSE,9900,440,11,324c9b560d4a46c6be01c9b317c789ab,1580260866,365.2179899,4018.782528,3042,alienware,169.229.222.110,4018.782528,9900,11,2,3a985096,1020.598571,148.6529947,1.657802737,5632,6600,362725.698,2.953,2695.536,3.316,17.93769231,35.36461538,0.200000003,0.0005,-0.210609525,-0.216027677,2412.794922,-0.000472426,0.026970103,23.69083786,0
-9.312514559,-230.9270578,-127.9577657,15,40,900,FALSE,10800,480,12,324c9b560d4a46c6be01c9b317c789ab,1580261243,376.2417696,4395.024297,3042,alienware,169.229.222.110,4395.024297,10800,12,2,3a985096,1022.561803,148.8839642,1.653818861,6144,7200,362783.143,2.967,2695.819,3.248,17.71564246,36.21005587,0.200000003,0.0005,-0.229142085,-0.234256953,2468.76001,-0.000389814,0.025450831,23.67299271,0
-8.883370125,-232.4361835,-124.5972616,15,40,900,FALSE,11700,520,13,324c9b560d4a46c6be01c9b317c789ab,1580261596,353.1720369,4748.196334,3042,alienware,169.229.222.110,4748.196334,11700,13,2,3a985096,1023.439371,148.9730622,1.650347779,6656,7800,362178.986,2.939,2694.096,3.34,18.06230159,37.05,0.200000003,0.0005,-0.219816208,-0.225037724,2162.1875,-0.000299245,0.025999485,23.658638,0
-8.883370125,-232.4361835,-123.9058787,15,40,900,FALSE,12600,560,14,324c9b560d4a46c6be01c9b317c789ab,1580261962,366.468529,5114.664863,3042,alienware,169.229.222.110,5114.664863,12600,14,2,3a985096,1024.322382,149.0322544,1.647740383,7168,8400,362314.05,2.93,2696.416,3.385,17.83231358,37.93996176,0.200000003,0.0005,-0.244707614,-0.249730617,2034.020508,-0.000295132,0.02501341,23.63538361,0
-8.883370125,-219.6644956,-123.5164091,15,40,900,FALSE,13500,600,15,324c9b560d4a46c6be01c9b317c789ab,1580262335,372.8292515,5487.494115,3042,alienware,169.229.222.110,5487.494115,13500,15,2,3a985096,1024.732234,149.1038642,1.645505895,7680,9000,362942.885,2.982,2692.583,3.485,17.65423729,38.76723164,0.200000003,0.0005,-0.22805351,-0.233449012,2460.29248,-0.000252545,0.026854584,23.62505722,0
-9.251326918,-219.6644956,-123.8851945,15,40,900,FALSE,14400,640,16,324c9b560d4a46c6be01c9b317c789ab,1580262700,364.6249611,5852.119076,3042,alienware,169.229.222.110,5852.119076,14400,16,2,3a985096,1025.160907,149.2395668,1.643898828,8192,9600,362661.947,2.988,2698.205,3.414,17.8375,39.59115385,0.200000003,0.0005,-0.211568207,-0.216864169,2173.475342,-0.000266075,0.026371131,23.60416222,0
-8.390916984,-223.1468254,-118.6802072,15,40,900,FALSE,15300,680,17,324c9b560d4a46c6be01c9b317c789ab,1580263054,353.9964745,6206.11555,3042,alienware,169.229.222.110,6206.11555,15300,17,2,3a985096,1025.305708,149.2636504,1.643500236,8704,10200,361273.107,2.945,2696.689,3.384,17.72673267,40.38792079,0.200000003,0.0005,-0.218653381,-0.22426714,2076.310791,-0.000188828,0.027964901,23.58936501,0
-8.390916984,-223.1468254,-113.5768708,15,40,900,FALSE,16200,720,18,324c9b560d4a46c6be01c9b317c789ab,1580263420,366.4003401,6572.51589,3042,alienware,169.229.222.110,6572.51589,16200,18,2,3a985096,1025.020448,149.2219173,1.643194001,9216,10800,362460.322,2.91,2702.691,3.364,17.88891013,41.21510516,0.200000003,0.0005,-0.225752354,-0.231079921,2158.837646,-0.000191808,0.026529893,23.57492065,0
-8.390916984,-223.1468254,-120.8000623,15,40,900,FALSE,17100,760,19,324c9b560d4a46c6be01c9b317c789ab,1580263784,364.0785432,6936.594434,3042,alienware,169.229.222.110,6936.594434,17100,19,2,3a985096,1025.571771,149.2934433,1.642336324,9728,11400,361185.847,2.887,2701.884,3.393,18.27572254,42.00944123,0.200000003,0.0005,-0.192503393,-0.197703212,2323.993164,-0.000209719,0.025882954,23.56724548,0
-8.033748195,-220.3024886,-122.0240649,15,40,900,FALSE,18000,800,20,324c9b560d4a46c6be01c9b317c789ab,1580264151,366.2248597,7302.819293,3042,alienware,169.229.222.110,7302.819293,18000,20,2,3a985096,1026.183881,149.3772138,1.640713831,10240,12000,362209.877,2.925,2704.93,3.371,18.13045977,42.86628352,0.200000003,0.0005,-0.216063157,-0.221355721,2221.08667,-0.000186831,0.02635172,23.55323601,0
-8.033748195,-216.2063796,-118.8674116,15,40,900,FALSE,18900,840,21,324c9b560d4a46c6be01c9b317c789ab,1580264506,355.5606282,7658.379921,3042,alienware,169.229.222.110,7658.379921,18900,21,2,3a985096,1026.249664,149.3523591,1.639598236,10752,12600,361240.094,2.979,2708.96,3.338,17.93818898,43.71594488,0.200000003,0.0005,-0.205240726,-0.210364699,2108.295654,-0.000137299,0.025514446,23.53287315,0
-8.433281197,-218.3718669,-119.9802689,15,40,900,FALSE,19800,880,22,324c9b560d4a46c6be01c9b317c789ab,1580264877,371.34464,8029.724561,3042,alienware,169.229.222.110,8029.724561,19800,22,2,3a985096,1026.455053,149.4243395,1.638556235,11264,13200,360755.246,2.866,2704.352,3.229,17.87939509,44.53308129,0.200000003,0.0005,-0.23037222,-0.23545453,2208.034424,-0.000146955,0.025301181,23.51977539,0
-9.456881351,-224.1359314,-123.4155113,15,40,900,FALSE,20700,920,23,324c9b560d4a46c6be01c9b317c789ab,1580265241,363.584388,8393.308949,3042,alienware,169.229.222.110,8393.308949,20700,23,2,3a985096,1026.88288,149.5177108,1.637776586,11776,13800,361797.518,2.786,2703.395,3.279,17.86840077,45.34123314,0.200000003,0.0005,-0.218088597,-0.223344997,2364.154297,-0.000131547,0.026163768,23.49780273,0
-9.456881351,-224.1359314,-122.7318317,15,40,900,FALSE,21600,960,24,324c9b560d4a46c6be01c9b317c789ab,1580265606,365.1179438,8758.426893,3042,alienware,169.229.222.110,8758.426893,21600,24,2,3a985096,1027.013251,149.543291,1.63747265,12288,14400,361667.023,2.731,2698.872,3.314,17.92207294,46.06948177,0.200000003,0.0005,-0.215282023,-0.220443606,2286.182861,-0.000131994,0.025693666,23.48306084,0
