Wall time,Step,Value
1618929718.657721,1600,23.89000701904297
1618930356.8123338,3200,23.846830368041992
1618931033.3961868,4800,23.793621063232422
1618931724.8885198,6400,23.770109176635742
1618932405.4342396,8000,23.750526428222656
1618933093.9213057,9600,23.70173454284668
1618933788.58251,11200,23.670122146606445
1618934496.591959,12800,23.624065399169922
1618935189.1356008,14400,23.5758113861084
1618935892.845823,16000,23.551164627075195
1618936666.0625703,17600,23.543886184692383
1618937383.572721,19200,23.510498046875
1618938085.8108745,20800,23.452714920043945
1618938815.713039,22400,23.43800163269043
1618939543.4490347,24000,23.402502059936523
1618940279.8364635,25600,23.36577606201172
1618941007.2478538,27200,23.32184410095215
1618941741.3941958,28800,23.294361114501953
1618942481.5948265,30400,23.25653839111328
1618943226.7939289,32000,23.208030700683594
1618943997.417508,33600,23.185190200805664
1618944748.5992162,35200,23.126317977905273
1618945497.9356222,36800,23.081724166870117
1618946252.5272484,38400,23.062009811401367
1618947029.992827,40000,23.061559677124023
1618947815.8439517,41600,23.031776428222656
1618948573.0541532,43200,22.99496078491211
1618949336.4504776,44800,22.945114135742188
1618950120.3865025,46400,22.901874542236328
1618950910.903707,48000,22.885313034057617
1618951674.4927304,49600,22.825477600097656
1618952493.716926,51200,22.8032169342041
1618953246.0284696,52800,22.783552169799805
1618954074.3388543,54400,22.745622634887695
1618954838.6817398,56000,22.703706741333008
1618955600.180551,57600,22.642868041992188
1618956352.3638482,59200,22.622358322143555
1618957122.7412927,60800,22.565454483032227
1618957885.45714,62400,22.54713249206543
1618958651.2867837,64000,22.52749252319336
1618959421.4059079,65600,22.383859634399414
1618960200.2337139,67200,22.34608268737793
1618961013.6391168,68800,22.275226593017578
1618961816.6441183,70400,22.39327049255371
1618962583.598069,72000,22.23802947998047
1618963403.3654044,73600,22.373308181762695
1618964194.223931,75200,22.089859008789062
1618964834.9582043,76800,22.09434700012207
1618965503.3700333,78400,22.064945220947266
1618966189.7992094,80000,22.156322479248047
1618966866.1892645,81600,21.957487106323242
1618967580.9710822,83200,21.941972732543945
1618968282.0618231,84800,21.820110321044922
1618968996.0616553,86400,21.85938835144043
1618969704.1223705,88000,21.779329299926758
1618970467.2594132,89600,21.683982849121094
1618971191.7725794,91200,21.76892852783203
1618971919.8549063,92800,21.68231773376465
1618972633.3177574,94400,21.555652618408203
1618973359.8069677,96000,21.3754825592041
1618974091.269665,97600,21.42406463623047
1618974869.6904187,99200,21.46973419189453
1618975595.1234133,100800,21.594209671020508
1618976342.6858144,102400,21.555662155151367
1618977078.2178721,104000,21.290210723876953
1618977823.384518,105600,21.24419403076172
1618978560.2043726,107200,21.10293197631836
1618979333.2324567,108800,21.169612884521484
1618980081.3585305,110400,21.23827362060547
1618980823.4234886,112000,21.218650817871094
1618981564.863101,113600,21.296239852905273
1618982333.2103603,115200,21.021549224853516
1618983109.0240605,116800,20.744016647338867
1618983855.9101357,118400,21.137163162231445
1618984596.2335417,120000,20.816972732543945
1618985378.556322,121600,20.80211639404297
1618986140.0191107,123200,20.93761444091797
1618986955.0666308,124800,20.550357818603516
1618987747.3039196,126400,20.79998207092285
1618988506.1129205,128000,20.51759147644043
1618989271.092363,129600,20.625120162963867
1618990028.3659368,131200,20.55067253112793
1618990787.4469688,132800,20.6868953704834
1618991545.263681,134400,20.600446701049805
1618992307.1263294,136000,20.509307861328125
1618993081.4382617,137600,20.29140853881836
1618993842.8368497,139200,20.232242584228516
1618994612.173096,140800,20.052257537841797
1618995469.2681904,142400,20.160282135009766
1618996234.1978564,144000,20.250455856323242
1618996988.198308,145600,20.101463317871094
1618998262.8321128,147200,20.10984230041504
1618998895.540416,148800,19.772438049316406
1618999555.6155434,150400,19.842960357666016
1619000236.601215,152000,19.415266036987305
1619000909.9118638,153600,19.56153106689453
1619001592.5607765,155200,19.37537956237793
1619002292.0929973,156800,19.489215850830078
1619002992.2379026,158400,19.475955963134766
1619003683.2296987,160000,19.36565399169922
1619004442.248742,161600,19.381752014160156
1619005157.9990425,163200,18.146671295166016
1619005867.1379638,164800,18.799806594848633
1619006569.9868739,166400,18.712251663208008
1619007288.08996,168000,18.65131378173828
1619008051.8255606,169600,18.766969680786133
1619008803.8080919,171200,18.325700759887695
1619009520.5393925,172800,18.69866180419922
1619010255.25308,174400,18.73998260498047
1619010994.8128207,176000,19.322126388549805
1619011727.6585927,177600,18.122310638427734
1619012510.2594056,179200,18.27525520324707
1619013249.0110645,180800,18.441730499267578
1619013992.917481,182400,18.16456413269043
1619014742.998636,184000,17.84132194519043
1619015480.450215,185600,18.263710021972656
1619016234.040969,187200,16.68156623840332
1619016967.9911625,188800,17.22058868408203
1619017724.5590134,190400,17.98394775390625
1619018521.5560408,192000,16.77130126953125
1619019151.332562,193600,17.704439163208008
1619019821.8579404,195200,17.314483642578125
1619020497.3769448,196800,16.960542678833008
1619021171.4384634,198400,17.233661651611328
1619021855.2771008,200000,16.44547462463379
1619022554.1367698,201600,16.79697608947754
1619023259.7860725,203200,15.797918319702148
1619023955.8231525,204800,16.383180618286133
1619024673.2056303,206400,16.875349044799805
1619025391.4945843,208000,16.420469284057617
1619026113.0634882,209600,16.236778259277344
1619026829.6855197,211200,16.637920379638672
1619027536.9258723,212800,16.08721351623535
1619028291.1179347,214400,15.365768432617188
1619029017.1584496,216000,15.94314956665039
1619029723.6111388,217600,16.13668441772461
1619030471.993706,219200,16.254247665405273
1619031213.5990992,220800,15.329766273498535
1619031963.7717032,222400,15.398934364318848
1619032717.0527148,224000,15.43393611907959
1619033468.465326,225600,15.796762466430664
