,interval,ave_baseline,ave_deepRL,diff
0,5-min,46.1713888888889,52.9252777777778,-14.6278659824206
1,10-min,46.1269444444444,52.8652777777778,-14.6082369306925
2,15-min,46.123,40.495994,12.2
3,30-min,46.1733333333333,53.0258333333333,-14.8408172105112
4,45-min,46.53125,53.245,-14.4284754869039
