,interval,ave_baseline,ave_deepRL,diff
0,5-min,40.79041666666666,43.190000000000005,-5.882713464151131
1,10-min,40.71520833333333,43.15999999999999,-6.004615392487435
2,30-min,40.78875000000001,43.225,-5.972847905366047
3,45-min,40.476,43.214,-6.7645024211878635
