Wall time,Step,Value
1618129384.5880883,1600,23.88268280029297
1618131434.2272356,3200,23.843557357788086
1618133530.5659952,4800,23.816436767578125
1618135654.7887337,6400,23.77732276916504
1618137828.600679,8000,23.73309326171875
1618140035.5235198,9600,23.713193893432617
1618142204.0903454,11200,23.664216995239258
1618144467.2989137,12800,23.64946746826172
1618146771.5582619,14400,23.624479293823242
1618150714.2892082,16000,23.56890869140625
1618152753.486044,17600,23.510517120361328
1618154884.6977386,19200,23.46852684020996
1618157012.054897,20800,23.431076049804688
1618159234.6820004,22400,23.41518211364746
1618161426.8072405,24000,23.378219604492188
1618163679.5503938,25600,23.359466552734375
1618165923.5850563,27200,23.33584976196289
1618168188.0610228,28800,23.285383224487305
1618170462.410367,30400,23.27260971069336
1618174034.7839973,32000,23.24527359008789
1618176088.262473,33600,23.168277740478516
1618178205.129677,35200,23.11362075805664
1618180342.6225753,36800,23.06077003479004
1618182522.5122197,38400,23.00002098083496
1618184744.9245815,40000,22.974084854125977
1618186938.2768292,41600,22.936763763427734
1618189161.3554487,43200,22.89951515197754
1618191470.575633,44800,22.87905502319336
1618193710.2976215,46400,22.847509384155273
1618196048.5490727,48000,22.838027954101562
1618198374.7417855,49600,22.794898986816406
1618200657.6604295,51200,22.784624099731445
1618203141.8715732,52800,22.69794464111328
1618205225.3097343,54400,22.646032333374023
1618207353.0011115,56000,22.595998764038086
1618209497.939139,57600,22.528900146484375
1618211691.310314,59200,22.455495834350586
1618213914.1178648,60800,22.38184928894043
1618216115.0803246,62400,22.383970260620117
1618218449.192789,64000,22.36825180053711
1618220712.4886973,65600,22.323486328125
1618223007.8255613,67200,22.275447845458984
1618225270.455973,68800,22.200042724609375
1618227651.0488932,70400,22.167795181274414
1618229907.7330534,72000,22.175100326538086
1618232214.3129618,73600,22.05340003967285
1618236507.752783,75200,21.99808120727539
1618238570.793136,76800,21.86075210571289
1618240696.6974692,78400,21.74765396118164
1618242820.939672,80000,21.774250030517578
1618244988.5268514,81600,21.525177001953125
1618247198.785207,83200,21.6304931640625
1618249375.1200497,84800,21.6453800201416
1618251596.1358032,86400,21.389039993286133
1618253940.3856692,88000,21.427486419677734
1618256200.138366,89600,21.38554573059082
1618259207.0878801,91200,21.31920051574707
1618261269.8802426,92800,21.1124210357666
1618263405.620732,94400,21.199716567993164
1618265553.7885103,96000,20.965970993041992
1618267714.4622066,97600,21.077388763427734
1618269914.3808877,99200,21.028352737426758
1618272138.9377463,100800,20.971466064453125
1618274376.4094725,102400,20.922975540161133
1618276661.1859095,104000,20.612611770629883
1618278922.734393,105600,20.577035903930664
