,interval,ave_baseline,ave_deepRL,diff
0,5-min,41.8102380952381,45.17642857142858,-8.051115299852523
1,10-min,41.77702380952382,45.15619047619049,-8.088576826519482
2,30-min,41.807857142857145,45.19357142857143,-8.098272710187764
3,45-min,42.257777777777775,45.602222222222224,-7.9143878838872626
