,time,delay_time,min,max
0,2021-06-19 05:10:00,23.55,20.943011907476325,29.39575242188446
1,2021-06-19 05:20:00,24.34,21.5984645972358,28.517655543944887
2,2021-06-19 05:30:00,26.89,23.87542098119616,33.6098002972025
3,2021-06-19 05:40:00,25.4,22.526504907732395,30.6961247340123
4,2021-06-19 05:50:00,27.58,24.428177435041803,34.28219489159706
5,2021-06-19 06:00:00,31.98,28.363865747662196,35.8918635163478
6,2021-06-19 06:10:00,33.67,29.816617204669168,40.23061275248514
7,2021-06-19 06:20:00,33.69,29.881667211999197,37.64813936065422
8,2021-06-19 06:30:00,33.76,30.0399762741479,41.56011431528022
9,2021-06-19 06:40:00,49.53,44.05878017575936,57.74777443923872
10,2021-06-19 06:50:00,43.61,38.785246822823495,52.417845583953735
11,2021-06-19 07:00:00,45.39,39.998137275639124,53.32302452236572
12,2021-06-19 07:10:00,48.08,42.379723823405016,58.70878776314743
13,2021-06-19 07:20:00,61.61,54.51747147357023,70.95864863602762
14,2021-06-19 07:30:00,73.84,65.18111447363688,83.30176402889519
15,2021-06-19 07:40:00,86.75,76.50443562544153,103.96496469260855
16,2021-06-19 07:50:00,86.34,76.48362904670303,99.05775947096664
17,2021-06-19 08:00:00,93.25,82.7373638436925,112.65433957963214
18,2021-06-19 08:10:00,104.33,92.20671901015692,125.80277007278771
19,2021-06-19 08:20:00,80.74,71.62260693489071,93.72564038474519
20,2021-06-19 08:30:00,76.44,67.80514018607207,88.26724890533373
21,2021-06-19 08:40:00,90.21,80.07684829765617,111.08185013445204
22,2021-06-19 08:50:00,75.52,66.83902337439893,86.06904790998247
23,2021-06-19 09:00:00,70.15,62.040357311757184,86.20704012778036
24,2021-06-19 09:10:00,73.38,64.82903788305241,86.40847134661902
25,2021-06-19 09:20:00,54.73,48.67004779470685,63.14886122308257
26,2021-06-19 09:30:00,49.62,43.78222086145236,58.82743051642619
27,2021-06-19 09:40:00,43.47,38.459591706184185,49.22158454521515
28,2021-06-19 09:50:00,44.42,39.31499936629713,53.61786919144978
29,2021-06-19 10:00:00,46.83,41.28308082235514,53.714698388421
30,2021-06-19 10:10:00,41.58,36.90022091249857,48.17287871166828
31,2021-06-19 10:20:00,40.68,36.159279149405165,50.664294514123114
32,2021-06-19 10:30:00,42.24,37.305345233654464,47.45029946028925
33,2021-06-19 10:40:00,40.81,36.31015245151669,49.259429336658286
34,2021-06-19 10:50:00,41.96,37.31735577459244,47.69315642358376
35,2021-06-19 11:00:00,38.94,34.652305172947315,48.28314605280885
