,time,delay_time,min,max
0,2021-06-19 10:10:00,41.48,36.71362521084334,50.88518452033648
1,2021-06-19 10:20:00,40.59,35.809556448679714,49.91647456945471
2,2021-06-19 10:30:00,44.91,39.741068235255305,51.221216825307614
3,2021-06-19 10:40:00,43.19,38.361951465713474,48.03951060901242
4,2021-06-19 10:50:00,45.18,39.84379781197893,56.01449411406473
5,2021-06-19 11:00:00,39.57,35.1456231292122,48.47663372373602
6,2021-06-19 11:10:00,40.82,36.23985036774736,45.51496461152864
7,2021-06-19 11:20:00,41.93,37.05516876698116,49.17853503391764
8,2021-06-19 11:30:00,38.64,34.1616024646547,43.438577257215684
9,2021-06-19 11:40:00,48.78,43.38646109387067,60.044778128337704
10,2021-06-19 11:50:00,43.28,38.087827974800945,50.33306838291387
11,2021-06-19 12:00:00,39.81,35.24647749492059,47.43620991217944
12,2021-06-19 12:10:00,45.38,40.266533445550095,56.15670881869028
13,2021-06-19 12:20:00,41.59,36.954895300982095,47.603654588761614
14,2021-06-19 12:30:00,44.77,39.49598238014149,50.330040695643596
15,2021-06-19 12:40:00,46.58,41.353718283792944,52.121730387334026
16,2021-06-19 12:50:00,46.62,41.28871537165544,56.58782086746314
17,2021-06-19 13:00:00,46.84,41.457064808305006,52.131042861933764
18,2021-06-19 13:10:00,41.98,37.092092796040916,47.230135968182545
19,2021-06-19 13:20:00,39.86,35.28223849280934,48.627901383229215
20,2021-06-19 13:30:00,44.06,39.07232783991654,49.86525406448872
21,2021-06-19 13:40:00,45.9,40.77907229195651,55.58511715705809
22,2021-06-19 13:50:00,40.33,35.61872248259051,45.54770497771622
23,2021-06-19 14:00:00,44.47,39.500716864396395,50.22669794222538
