time,delay_time
600,23.55
1200,24.34
1800,26.89
2400,25.4
3000,27.58
3600,31.98
4200,33.67
4800,33.69
5400,33.76
6000,49.53
6600,43.61
7200,45.39
7800,48.08
8400,61.61
9000,73.84
9600,86.75
10200,86.34
10800,93.25
11400,104.33
12000,80.74
12600,76.44
13200,90.21
13800,75.52
14400,70.15
15000,73.38
15600,54.73
16200,49.62
16800,43.47
17400,44.42
18000,46.83
18600,41.58
19200,40.68
19800,42.24
20400,40.81
21000,41.96
21600,38.94
