,time,delay_time,min,max
0,2021-06-14 14:10:00,41.57,36.7102266533135,53.16993659396127
1,2021-06-14 14:20:00,42.52,37.64075875108375,52.154523087127274
2,2021-06-14 14:30:00,42.42,37.42013011587819,54.620039722143105
3,2021-06-14 14:40:00,40.92,36.214805418846225,49.576673012412435
4,2021-06-14 14:50:00,44.53,39.30945732381164,52.54301214678857
5,2021-06-14 15:00:00,38.65,34.33000947226136,50.69652896920305
6,2021-06-14 15:10:00,40.49,36.00405660926133,51.369177500294654
7,2021-06-14 15:20:00,44.76,39.54658390079936,57.40919153698478
8,2021-06-14 15:30:00,41.98,37.01489519651047,52.193415905331214
9,2021-06-14 15:40:00,41.92,37.1703585107778,48.48253522097606
10,2021-06-14 15:50:00,39.22,34.777604492617215,45.71736817742123
11,2021-06-14 16:00:00,42.9,38.0969375324858,50.59795308414281
12,2021-06-14 16:10:00,51.76,45.71097137499301,64.45672290392746
13,2021-06-14 16:20:00,50.38,44.722559915871074,64.27032835728313
14,2021-06-14 16:30:00,51.81,45.96286157529532,63.74552980980318
15,2021-06-14 16:40:00,49.33,43.79639099795337,57.70896374144823
16,2021-06-14 16:50:00,54.73,48.23744481161122,61.442896332614914
17,2021-06-14 17:00:00,47.55,41.93006232154099,59.21934555211378
18,2021-06-14 17:10:00,55.29,49.15942545832307,62.524261166057954
19,2021-06-14 17:20:00,54.19,47.77986634194601,63.141230597377486
20,2021-06-14 17:30:00,51.15,45.329682933844104,64.15006830996442
21,2021-06-14 17:40:00,50.11,44.12251451193932,59.00953568878953
22,2021-06-14 17:50:00,53.4,47.13232747682805,70.0002071068462
23,2021-06-14 18:00:00,54.25,48.19793241822308,65.97487836927107
24,2021-06-14 18:10:00,49.48,43.80790081584803,62.31863945757372
25,2021-06-14 18:20:00,47.54,41.94566399248766,59.27256416627723
26,2021-06-14 18:30:00,49.77,43.86022235229511,64.01253890378005
27,2021-06-14 18:40:00,49.83,44.00878404074077,60.965171632942884
28,2021-06-14 18:50:00,48.41,42.80911591639846,61.27540526879297
29,2021-06-14 19:00:00,49.92,44.10055546931332,64.42409171915892
30,2021-06-14 19:10:00,48.65,43.24843001468492,55.16514623018536
31,2021-06-14 19:20:00,41.56,36.89784261581458,48.860863117188835
32,2021-06-14 19:30:00,42.52,37.813240536523935,50.4171538362819
33,2021-06-14 19:40:00,40.68,35.981670457433815,53.08042134529337
34,2021-06-14 19:50:00,42.04,37.30632671164134,51.0410585730408
35,2021-06-14 20:00:00,39.42,35.03350380533729,44.32849678633041
36,2021-06-14 20:10:00,35.39,31.34895028803679,42.07445996918728
37,2021-06-14 20:20:00,38.26,33.73828923342316,45.215690531095724
38,2021-06-14 20:30:00,37.24,33.090349800333755,43.036008962601564
39,2021-06-14 20:40:00,39.67,35.21506934471456,45.725942365545464
40,2021-06-14 20:50:00,35.73,31.626682471875597,46.35692863383602
41,2021-06-14 21:00:00,35.47,31.30157128829171,41.253627866164145
