time,density,stop_time,speed,delay_time,travel_time,mean_queue,seed
8100,6.8711997318,41.1145985599,36.9717319417,52.391,110.2602,88.3724,4558
17100,6.11302549201,31.4368759367,38.8694796243,42.8019,100.7856,65.832,9625
16200,7.37648260216,40.4040047186,35.9184555197,55.0377,112.7056,92.3431,6189
16200,6.55319071604,33.7464550553,37.6656526048,46.3938,104.3044,72.2187,7161
9000,8.45019888982,48.053316915,34.0855988757,61.9197,120.1462,114.2409,4558
18000,5.9396021733,31.9967711546,39.099337331,42.9436,100.5827,63.2631,9625
17100,6.71593695484,36.111305906,37.1308073033,49.1318,106.8416,76.3973,6189
17100,6.10660122379,32.8379865828,38.4944317847,44.4256,102.1866,67.3618,7161
18900,5.26656686051,30.1411128512,39.564356368,40.8399,98.8297,54.68,9625
9900,10.0814304903,52.499999472,32.3384823442,67.5851,126.2032,141.2009,4558
18000,6.29328390733,31.9005927838,38.5833100294,44.1167,101.7644,68.5467,6189
18000,5.92784006104,33.6736705169,38.5284254496,45.4872,103.1918,65.3164,7161
19800,5.32026683548,31.1846851258,39.3904630962,42.4188,100.2535,54.4382,9625
18900,5.83424523622,33.6407679524,38.3074573542,45.0506,102.9377,63.0951,6189
10800,11.263957893,57.7317725284,31.5928465308,74.711,132.9433,170.6249,4558
18900,5.63981337736,33.3875571735,38.2507483715,44.9902,102.6042,60.4391,7161
20700,5.07784859439,31.3561499701,39.2827804447,42.2788,100.3126,53.1627,9625
19800,5.44447806468,29.7621818589,39.9709415181,40.4217,98.0829,56.5333,6189
19800,5.51323138707,31.0512669513,39.6208877076,41.8205,99.5024,57.7093,7161
11700,12.5451075689,77.3828956226,28.7439068017,99.5401,158.0899,209.944,4558
21600,5.37437210263,32.2909902106,39.2170447034,42.7483,100.6309,56.5609,9625
20700,5.24928182014,32.2573831872,39.3233442993,43.2733,100.7624,54.7529,6189
20700,5.67043264205,31.350675825,39.2219474899,42.4633,100.1936,60.4427,7161
21600,5.24795323427,29.2078678941,40.153783519,40.0483,97.6164,52.8684,6189
12600,10.84153972,65.9623152017,30.6443869809,84.3691,142.9348,168.952,4558
21600,5.27960773013,30.4093678113,39.6732154715,41.1042,99.0582,53.1076,7161
900,1.38940146625,16.5459098957,47.4385763887,23.6676,81.0962,10.0764,6495
13500,10.1344183998,59.6229829536,31.8716592415,75.1323,133.4295,156.896,4558
1800,1.44856396586,16.7828424438,47.1832300276,23.8862,81.4048,9.9404,6495
2700,1.77943934864,17.6015421521,46.9279331041,25.0828,82.4871,13.3769,6495
900,1.292905885,17.5090240139,47.2408526416,24.7896,82.7715,8.8453,1083
14400,10.9175839596,62.196559829,31.3397180701,78.9407,137.0986,173.1413,4558
1800,1.36708098034,15.4326314272,48.495229887,22.6312,79.7823,8.8018,1083
3600,2.06825719496,25.7330950883,43.7109614164,33.4664,91.3834,19.4382,6495
2700,1.88182384704,18.2459013184,46.8248043096,25.6109,83.1417,14.4524,1083
4500,3.01524931728,26.3687354777,42.2414739461,35.5118,92.9305,29.24,6495
3600,1.89470096611,26.3741657914,43.9230141042,33.7678,91.5721,18.3733,1083
15300,9.27649214118,65.8452542194,31.3639430319,84.6105,142.3544,136.2649,4558
5400,2.86924839685,26.9054108648,41.9833181781,35.5919,93.735,27.56,6495
4500,2.85140007972,28.4350538941,41.2375330325,37.3003,95.459,29.0391,1083
16200,7.41786282519,38.8548142276,36.3032044241,52.7009,110.333,89.2747,4558
5400,2.85565964501,28.0778665699,41.3450461889,36.8664,94.1076,28.5618,1083
6300,3.98115397746,41.10450449,38.7955228725,50.9129,107.8125,49.6782,6495
6300,3.93910311156,39.4649320523,39.699045007,49.0468,105.9762,47.3422,1083
17100,6.85994918314,37.2045406892,36.6510346392,50.3853,108.0091,79.0533,4558
7200,3.74924949574,36.1422829044,39.7686651299,45.4604,102.6825,43.7653,6495
7200,4.07231397279,34.5970165333,40.0110399289,44.0792,101.4874,46.3911,1083
900,1.45739773563,17.0155790935,47.0572610038,24.5657,82.0654,10.1004,2155
18000,5.65785661935,32.0802767146,38.7005999587,43.8272,101.5907,60.656,4558
8100,7.16845285855,42.4170981741,36.3137789914,54.0412,112.0764,92.0258,6495
8100,7.0786186358,41.3653811954,36.3956515626,53.0385,111.2697,89.248,1083
18900,5.57473993906,32.9964567515,38.4689952336,44.4936,102.4313,59.8951,4558
9000,7.70179643608,44.1279439608,35.5504375983,56.0883,114.582,100.2764,6495
19800,5.14637572375,29.2758260512,40.5909370312,39.2523,96.7284,52.12,4558
9000,7.40262951462,42.477460326,35.5866586534,55.1953,113.5146,92.1067,1083
20700,5.20793882481,29.3967506104,39.9538259669,40.4124,98.2064,52.1742,4558
9900,11.823970613,62.1029096109,30.4742715589,80.8109,138.9597,189.432,6495
1800,1.55623219765,17.3256732182,46.7858679253,24.7267,82.2465,11.4373,2155
9900,9.78195494506,50.2954004459,33.2438305988,64.7772,122.9831,134.8107,1083
21600,5.44282554678,31.2874992749,39.5333081673,41.8736,99.6784,56.5627,4558
10800,11.3277983257,62.821801923,30.2384083212,81.1861,139.3289,170.6444,1083
10800,13.0197791135,77.3739884001,28.4964599143,100.0878,158.3779,218.0418,6495
11700,10.3009750409,57.6320503788,31.5263865106,75.5119,134.1883,151.9067,1083
11700,11.0919866814,71.6548860483,30.1137572234,91.5781,149.7962,176.7858,6495
2700,1.72282499812,18.9913380642,45.6118511153,26.4723,84.9234,12.8444,2155
12600,9.73737968684,53.3965707796,32.8856304296,68.2747,126.6362,140.1618,1083
900,1.3464816611,16.394625978,47.4793015771,23.4517,80.6133,9.368,4118
12600,10.7682371141,71.2295586773,30.2533830004,89.0437,147.6431,170.8951,6495
1800,1.55758056723,19.8782513119,45.3913782502,27.4655,85.5129,11.8,4118
2700,1.85849803354,19.2269248363,46.0913810611,26.6298,84.6036,14.4222,4118
13500,10.3622485593,59.6605345291,31.9724760772,76.0814,134.3943,157.264,1083
3600,2.00603632878,24.1485417903,43.8279678936,31.7791,89.4858,18.928,4118
13500,10.1000107648,61.0290681317,31.1215752898,77.4812,135.6453,151.9893,6495
4500,2.81028400335,26.0576648373,43.0899784172,33.9699,91.2792,27.2107,4118
14400,10.0860080894,60.5103185222,30.7305082776,77.5414,136.1311,146.4089,1083
3600,2.06983221088,23.7929855874,44.298741135,31.4122,89.495,18.8862,2155
5400,2.96746520935,27.6202888865,41.6196528171,36.4706,93.6848,30.2204,4118
14400,10.2549000819,58.0458945111,31.8961427722,74.1307,132.6866,155.8391,6495
6300,3.9801022308,37.8476419258,39.7989468976,46.7718,103.8911,47.7147,4118
15300,7.62445260052,45.3392820374,35.3298135319,59.36,117.0152,95.8098,1083
7200,4.05114502592,37.2828372279,39.3137349052,47.0387,104.1621,48.0471,4118
15300,8.83055722437,59.165861511,32.6540800697,74.8688,132.999,125.6124,6495
16200,6.42565124847,35.3948129246,37.3664185708,47.8504,105.7641,72.736,1083
8100,7.14438483138,44.1691742921,35.7839433706,56.4489,114.8104,92.4658,4118
16200,7.15870074442,37.9550731409,36.4140099696,51.7746,109.3237,85.3404,6495
17100,6.29979971724,34.1566382237,38.2882754725,45.6799,103.2805,70.4142,1083
4500,3.0390173489,27.6215884553,41.7678129926,36.3749,94.0265,30.384,2155
9000,8.11333134682,47.1721797961,33.9100975473,60.5073,119.0145,108.9822,4118
18000,6.36818136578,31.6023298106,39.101119647,43.221,100.8612,67.552,1083
17100,6.34831159066,33.9435995699,37.9740605537,45.8957,103.9046,70.12,6495
18900,5.25872893265,31.9470672945,39.0610864207,42.741,100.7486,55.4142,1083
18000,6.59723815253,36.0312806316,37.3016684749,48.1062,105.7845,75.656,6495
9900,11.0469953516,56.1884269366,31.4764085973,72.4722,130.7592,166.4018,4118
19800,5.07775304207,28.7186323303,40.3964864162,39.0349,96.954,51.2684,1083
18900,5.4319672164,32.0164915226,39.1164057737,42.9153,100.908,57.4569,6495
10800,12.3650892795,69.7607021591,29.7147861957,89.2772,147.7082,200.2178,4118
20700,5.44414934135,30.3839881746,39.9422107243,40.9293,98.2699,56.728,1083
19800,5.73961610303,32.4419352683,39.0057324703,43.4939,101.4829,61.4684,6495
5400,2.79425421199,27.6131024892,42.0533141139,36.4586,93.7439,27.4542,2155
21600,5.26109741627,33.0681363766,38.9900633487,43.8836,101.6841,56.7582,1083
11700,10.9376908759,68.4104017488,29.8798912504,86.8091,145.3768,173.7253,4118
20700,5.45075404404,31.5573310095,39.4184745492,42.1534,100.0524,57.6391,6495
21600,5.28557884524,31.4809770694,39.3796623093,42.3665,100.1998,55.7182,6495
12600,10.772123437,59.86851125,31.6888146461,77.2868,135.4934,165.8827,4118
13500,10.2846158939,59.5546796052,31.8001236327,75.8162,133.8317,155.0747,4118
6300,3.88743268749,38.2995909233,39.5766258858,47.9723,104.7059,46.6071,2155
900,1.49781498815,15.8201698633,47.6752764816,22.8988,80.6387,10.224,1260
1800,1.52382128565,15.7012691264,47.3377951471,23.0467,80.546,10.0169,1260
14400,9.73790044866,55.413961799,32.5190954958,70.2961,128.6886,139.032,4118
2700,1.81498885819,20.0185975363,44.7904513772,27.8836,86.2578,14.2951,1260
3600,2.09220060545,25.8956091251,43.5067987346,34.2486,91.7316,20.1253,1260
15300,8.12778184849,49.9136789814,34.5005402631,64.7856,122.4869,106.96,4118
900,1.33896736524,16.5271306747,47.4567187494,23.1888,81.1176,9.3396,1446
4500,2.846152916,25.8154741103,42.6945699864,33.9559,91.1372,27.6844,1260
16200,7.64018956266,39.1817948292,35.9373797767,53.0371,110.8038,93.2631,4118
5400,2.85929647276,25.9400442763,42.2066310823,35.1356,92.5626,27.0578,1260
7200,4.13450064677,36.5587807727,39.7162792158,46.0039,102.7839,49.1476,2155
6300,3.91011168147,37.9966699543,39.6553252442,47.4958,104.6687,47.208,1260
17100,6.85850638657,37.6600246578,36.4875107373,50.6169,108.4615,78.6907,4118
7200,3.90582393715,35.5279617239,40.0048926616,45.2395,102.1176,44.12,1260
18000,6.52084243714,33.6355795444,37.8387676247,45.9437,103.8086,71.5858,4118
8100,7.25261669282,42.6982779373,36.3449780858,54.398,112.4561,94.0178,1260
18900,5.84367841166,33.9056259701,38.2990592931,45.3624,102.9528,63.048,4118
1800,1.49723165863,16.9668886603,47.5178829394,23.5784,81.1288,10.5449,1446
19800,5.09949765547,31.0397005835,39.817083624,41.9608,99.817,51.8471,4118
9000,7.9248985726,48.8948584285,33.6164570061,61.989,120.519,107.4853,1260
20700,5.26722315733,29.6638508212,39.8870729949,40.5077,98.0878,52.8542,4118
