time,density,stop_time,speed,delay_time,travel_time,mean_queue,seed
11700,6.7268906338,35.6013560784,39.5960792392,45.5443,103.2947,74.552,1667
12600,6.80871642834,35.1524387549,39.2744316778,45.6468,103.499,73.056,7378
11700,6.65913223163,35.5239509984,40.0293128466,45.333,103.3841,71.3129,4177
13500,6.79959901357,38.1385949482,39.1951785894,48.2756,106.0832,77.5333,4105
14400,6.85091155554,35.5673800344,39.2343341421,46.2161,103.8607,74.7778,6148
13500,6.65202713585,34.8536075107,39.8339084105,44.6878,102.6723,72.6667,7378
12600,6.88225441047,38.0547570896,39.0544508764,48.1581,106.0785,77.2836,1667
12600,6.72905588243,35.7241364849,39.3158531943,45.5403,103.4629,74.8427,4177
14400,6.46747478333,33.3403013429,39.8814770841,43.5197,101.2782,67.8507,4105
15300,6.3706253099,35.0110425195,39.84446033,44.7567,102.5936,69.3707,6148
13500,6.78879081732,35.6733580698,39.4028414947,45.5952,103.5369,74.3351,1667
14400,6.96993337571,36.8782734997,38.807794608,47.129,105.1625,78.9422,7378
13500,6.57376446043,35.7042712678,39.3457956528,45.6633,103.7676,72.9262,4177
15300,6.62872433281,34.5143670698,40.0350089762,44.4278,101.7294,71.4729,4105
16200,6.93617556446,37.906883468,39.3317275267,47.9649,105.3353,81.7956,6148
15300,6.83864813977,35.1138299695,39.6226651454,44.9552,102.4941,76.1271,7378
14400,6.5788011193,35.0872544251,39.902190898,44.7489,102.7217,69.7956,1667
14400,7.30115123452,39.4695664883,38.4026044903,50.0002,107.7695,85.696,4177
16200,7.08623339038,38.7104705361,38.8310527803,49.2729,106.781,83.3022,4105
17100,6.78794090794,37.923129474,39.4119580865,47.8733,105.2691,77.9831,6148
16200,6.48816604177,40.3881776121,38.6036935338,50.1121,107.6356,77.328,7378
15300,6.15561359927,32.3754282293,40.9717414036,41.9329,99.2076,64.904,1667
15300,6.3244349441,33.8666481627,40.4421275273,43.3032,100.8173,67.5289,4177
17100,6.1683855037,33.2914846356,40.4839658676,42.898,100.5962,65.6596,4105
18000,6.70819687083,33.4287012465,40.1064974883,43.3451,100.8589,73.3404,6148
17100,6.73028133597,33.436231005,40.5658316751,43.0274,100.5308,73.5938,7378
16200,7.13058856631,40.9658332981,38.455956568,51.0458,108.6163,86.6791,1667
16200,6.63286143691,40.1830490605,38.6292456917,50.6314,107.9948,79.1529,4177
18000,6.58386462769,35.6659613376,39.9637891687,45.1485,102.4874,76.3138,4105
18900,5.24164739772,32.9710598008,40.6036088492,42.5508,99.3866,57.016,6148
17100,6.33654791136,32.7887575296,40.5516916787,42.6246,100.2611,67.1636,1667
18000,6.52605292754,33.8615857625,39.9810001164,43.6691,101.302,73.4338,7378
17100,6.34341165169,32.9671727619,41.041558983,42.0287,99.577,69.1013,4177
18900,5.3433698588,35.7219608437,40.4206485332,45.2336,101.812,61.6489,4105
19800,4.85673735021,32.3872211697,40.6438644731,41.6747,98.1807,51.008,6148
18900,5.32538245285,34.2250748336,39.7220136776,44.4867,101.2591,57.7787,7378
18000,6.05118948434,37.714132566,39.6293352704,47.2271,104.8715,69.7876,1667
19800,4.98140804605,31.0606633767,40.9967018322,40.5635,96.9363,51.8311,4105
18000,6.81634736361,38.0249357562,38.4240319067,48.0585,105.8332,79.5707,4177
20700,4.69361951394,28.8472729506,42.0633844072,38.0188,94.6195,48.0267,6148
19800,5.04570707183,32.4104967155,40.6831073532,41.932,98.4401,54.4187,7378
18900,5.25878611296,35.4683256757,39.9275238845,45.2283,102.0057,57.3973,1667
20700,4.63164263614,30.4233274215,41.4701804584,39.5307,96.2373,48.7218,4105
18900,5.07304316735,31.3504117909,41.013518248,40.6535,97.7146,52.2871,4177
21600,4.89840320654,30.8999261927,41.1288884371,40.4449,96.8643,51.2836,6148
20700,4.90993939297,31.7022255796,40.7938712616,41.1364,97.906,50.9316,7378
19800,4.84416607258,29.6393589834,41.4104586428,39.0875,95.7065,48.8462,1667
21600,5.05758855608,35.6575243559,39.9577362926,45.229,101.6128,57.1618,4105
22500,3.53069320167,30.0838816352,41.8599790259,38.8123,96.172,35.4204,6148
19800,5.20053663361,33.3840633138,40.4801665221,42.8163,99.674,55.5867,4177
21600,4.81348140301,29.9515801577,41.7011514441,39.1595,95.8528,48.9484,7378
20700,4.98690668661,31.0138219351,41.1492919085,40.4136,97.0766,51.776,1667
22500,3.75836562278,28.1028538747,42.5439422732,36.7292,93.6337,36.4933,4105
23400,3.87824495576,33.5850263042,40.6066623985,42.5399,99.4489,42.68,6148
20700,4.87254392407,30.7124529424,41.4430838584,39.7815,96.6781,50.4276,4177
22500,3.82360301191,31.6494474092,41.1082811078,40.4671,97.8213,40.4649,7378
23400,3.59462205506,28.8969972667,42.3490502555,37.5094,94.6529,36.88,4105
21600,4.75786230015,30.1541061495,41.9492701065,39.2143,95.7598,49.0516,1667
24300,3.80425058623,27.7330461671,42.9371469416,36.1948,93.1437,36.1831,6148
23400,3.52112887339,28.8077144753,42.066255821,37.6769,94.6553,35.9484,7378
21600,4.60340223725,30.5767187767,41.1680836708,39.9674,96.4164,46.5467,4177
24300,3.58770008278,25.198298647,43.8731596871,32.9816,90.1812,31.7964,4105
22500,3.74741437123,33.6043006676,40.1716514994,43.3542,100.3622,40.1218,1667
25200,3.48445641166,24.1005030067,44.9538898392,31.8262,88.3622,31.9938,6148
24300,3.47562485112,23.3972692213,44.789788288,31.118,88.0036,30.1947,7378
22500,3.63718828517,29.0799711191,42.2257836184,37.5348,94.8413,36.7644,4177
25200,3.4713873592,22.4764392233,44.9302482852,30.2302,87.4138,30.0116,4105
23400,3.83059268041,30.5839540573,41.2993737137,39.6879,96.758,40.5511,1667
25200,3.49737252055,23.1526673996,44.6321972937,31.0993,88.0182,30.5476,7378
23400,3.70208906734,31.7391066235,40.9972839463,40.9458,97.6627,39.4444,4177
24300,3.3693471637,23.0272831771,44.8215501291,30.7812,87.868,29.2889,1667
24300,3.59703205643,27.2635543739,43.2078360447,35.3854,92.6108,34.0293,4177
25200,3.20259398788,21.1667219522,45.5463896148,28.7407,85.5826,26.9787,4177
25200,3.4713873592,22.4764392233,44.9302482852,30.2302,87.4138,30.0116,1667
900,4.93264741502,31.6793337761,40.692696903,40.7581,97.9118,52.9289,5547
900,5.14504481433,32.1847977729,40.232013348,41.6768,98.9704,55.2684,9346
1800,5.3949606429,33.2265240857,40.0148365201,42.7415,100.2874,58.9271,5547
1800,5.1094566712,31.0665256622,41.1340137421,39.8331,97.3275,57.6133,9346
2700,5.75247866915,32.7255772763,40.0839920733,42.0112,99.6117,61.832,5547
2700,5.6070834807,34.8569365169,39.9435784015,44.5358,101.2638,60.4151,9346
900,5.17597210026,31.2967387371,40.7911722211,40.3341,97.8973,55.2231,8198
3600,5.43169204013,33.0866554495,39.8872952743,42.9165,100.1937,58.6996,5547
900,4.94261906165,32.2228293089,40.6239030404,41.4209,98.5742,53.4524,4089
3600,5.15247748921,33.6035887806,40.2274954918,42.737,100.1254,54.848,9346
1800,5.42737082738,34.4960817299,39.794442055,44.049,101.44,60.68,8198
4500,5.58709819455,31.4946226442,40.6111284995,40.6964,98.0569,59.6969,5547
900,4.77755211568,30.7787448745,41.3071798708,39.7724,97.0215,50.6729,5456
1800,5.40772153355,33.2996707984,40.3726935169,42.5606,100.0589,57.8729,4089
4500,5.58778210007,32.8755067097,40.0670546452,42.0813,99.5069,60.296,9346
2700,5.48958992194,32.284281959,40.0780171033,41.9526,99.4527,58.6436,8198
5400,5.55814879222,33.160487285,39.853041463,42.7608,100.5192,58.7209,5547
1800,5.91766796031,42.6141209273,37.5577127554,52.5436,110.0712,73.8924,5456
2700,5.5443554369,33.9422147291,39.720730377,43.3062,100.9179,62.4009,4089
5400,5.46073747641,31.1470423675,40.3542533528,40.2564,97.9132,56.9573,9346
3600,5.40592980692,33.7916433175,39.5326142407,43.4401,100.5185,58.2222,8198
6300,5.4151607145,32.7598185105,39.9781749739,42.2338,99.6326,57.7013,5547
2700,5.60281589103,32.6044951815,40.7816064297,41.8729,98.7307,58.4791,5456
3600,5.2997672104,31.3982298691,40.4120972019,40.7141,97.9265,55.2231,4089
6300,5.51527772735,32.448686489,40.6051852049,41.5908,98.6655,58.0391,9346
4500,5.35321667398,32.2366522982,40.0047633653,41.7105,98.9407,57.1902,8198
7200,5.65457675462,33.0213751955,39.9644766358,42.6309,99.8638,60.6533,5547
3600,5.40322295154,31.2240084786,40.6085629387,40.3599,97.9938,56.5298,5456
4500,5.38235225769,31.7421180485,40.4251870957,41.01,98.1694,57.4373,4089
7200,5.78159042817,33.3104410864,40.0612104113,42.6045,99.81,61.968,9346
5400,5.5743015119,34.7578721164,39.2139005165,44.3192,101.9455,60.5742,8198
4500,5.69356472594,34.1101555733,39.5424539586,43.665,101.0118,62.3298,5456
8100,6.30582222754,37.0721562509,39.9447914277,46.8388,104.6509,70.7378,5547
5400,6.03841525439,32.0452497358,40.27918234,41.3654,98.7387,63.848,4089
8100,6.39823457142,35.8795603369,40.0154309201,45.6539,103.4632,67.9902,9346
6300,5.3961914599,33.0770126428,39.8827067553,42.3299,99.9233,57.7182,8198
5400,5.34646823521,33.3295789716,40.5256981098,42.2557,99.3919,56.6969,5456
9000,6.07995114057,33.8077801524,40.4955084928,43.3844,101.3222,62.9333,5547
6300,5.69490543304,33.7967757103,39.6590866196,43.2888,100.3835,62.0862,4089
7200,5.38162372206,32.0757039773,40.2370070725,41.2883,98.3652,56.8818,8198
9000,6.15580868286,32.9579804967,40.1577044817,42.9392,100.8289,64.7262,9346
6300,5.48023016017,31.0857903049,40.6364056336,40.4866,97.7631,57.4116,5456
7200,5.74841354327,35.1392696148,39.479915481,44.7576,101.9278,63.1822,4089
9900,6.45802871363,34.8897409706,39.863996319,44.9523,102.8908,68.7431,5547
8100,5.99829369296,32.9723570652,40.2605828182,42.8556,100.5687,63.5591,8198
9900,6.15902152403,34.2876324475,39.9852376625,44.1414,102.1745,65.4,9346
7200,5.84378816728,32.4340708126,40.1900632053,41.7389,98.8814,63.0916,5456
8100,6.28865616336,34.7599393998,39.7706457231,44.491,102.1851,70.448,4089
10800,5.89856856126,32.4249978565,40.3790230614,42.2978,99.8023,60.7511,5547
10800,6.37079912611,35.7405932474,39.5486707773,45.438,103.3034,71.4356,9346
9000,6.38620518295,33.8595543443,39.762547379,43.7633,101.7293,68.3511,8198
8100,5.95985925628,36.2207177841,40.1110272437,45.4613,103.4126,64.0053,5456
9000,6.38089073326,37.8675206654,39.2700514363,47.6991,105.2921,73.0649,4089
11700,6.46017135908,32.0679219158,41.0847104422,41.3824,99.0584,68.5111,5547
9900,6.32420682732,33.0690409268,40.4849373123,42.665,100.5084,65.0764,8198
11700,7.02038540686,36.3109399029,39.3783574093,46.395,104.1871,77.2249,9346
9000,6.13474837789,32.7947955664,40.3834603534,42.511,100.3031,63.8311,5456
9900,6.40091822632,35.1987559689,39.6920786396,45.0587,103.3388,68.1911,4089
12600,7.05144592693,35.9984737075,39.439048138,46.313,103.856,80.2409,5547
12600,7.07871495217,36.8313273903,38.6882431291,47.4813,105.2964,78.8036,9346
10800,6.14005664078,34.117440302,40.2809152132,43.648,101.6403,65.7698,8198
9900,6.31549801187,32.6449768916,40.3148616355,42.3455,100.3055,65.712,5456
10800,5.98126293853,34.1378315435,39.8604694745,44.3079,101.9556,63.2898,4089
13500,6.95130219985,37.364888413,39.1987620199,47.6692,105.5103,77.8711,5547
13500,7.13019919063,38.209284133,38.6362949223,48.6545,106.5811,80.1156,9346
11700,6.87648929983,40.5069884728,38.6221279149,50.8163,108.7511,82.1964,8198
10800,6.36242113783,33.941544173,40.1264964544,43.7326,101.4449,68.2231,5456
11700,6.63186267163,34.4051053969,39.6983249065,44.6778,102.5523,72.2587,4089
14400,6.89859580644,35.7412708504,39.2870726952,45.9473,103.9566,74.3004,5547
12600,6.93847637932,36.3374953407,39.1105287193,47.0177,104.8363,78.9218,8198
14400,6.80428614346,34.9101721192,39.4918068821,45.0868,102.8724,72.1511,9346
11700,6.52462595095,35.7679011196,39.384398059,45.8188,103.9889,70.6702,5456
12600,6.34096710961,33.4030023065,40.0895155473,43.5398,101.4548,66.6818,4089
15300,6.26465867241,32.8779330628,40.6443149777,42.3601,99.9971,66.0853,5547
15300,6.36271627469,32.45838886,40.52449586,42.1833,99.9931,67.0053,9346
13500,7.05020918214,38.9017805811,38.5433642062,49.189,107.1547,83.2631,8198
12600,6.53074280447,32.9783723835,40.3637405172,42.6133,100.0775,69.5102,5456
13500,6.67118020611,34.3796514395,40.068777702,44.033,101.808,72.2862,4089
16200,6.84566592599,42.3181875169,37.9834338487,52.7367,110.2325,83.7982,5547
