time,density,stop_time,speed,delay_time,travel_time,mean_queue,seed,,,,,
21600,5.17549337701,28.0787104701,41.2497733257,38.0739,95.6839,51.2764,2939,,,,,
11700,11.3730078749,69.0270685569,31.3051659531,86.5821,144.9921,184.5644,1182,,,,,
12600,9.95585297312,56.8278324182,33.5168265455,71.4786,130.0313,147.0213,1182,,,,,
13500,10.0459311905,58.4703449105,33.5703206923,73.4868,131.6571,152.3876,1182,,,,,
14400,9.06686419376,54.9894976862,34.8444609511,68.1966,126.8198,126.5671,1182,,,,,
15300,8.17306290058,45.3512138022,36.2052232135,58.9526,116.4624,108.128,1182,,,,,
900,1.25073739908,15.7491990698,47.940691938,22.4687,80.2152,8.5093,2524,,,,,
1800,1.48177944224,18.2829227776,46.3185394989,25.8913,83.6884,10.6276,2524,,,,,
16200,6.64179029138,33.9650481249,38.6766109421,46.2866,104.0049,74.4489,1182,,,,,
2700,1.94743804797,21.8462131069,44.9413283795,30.0552,87.8231,16.5236,2524,,,,,
3600,1.99914717401,22.5597732473,45.3729028928,29.8521,87.72,16.9902,2524,,,,,
17100,6.14685251551,28.7495444737,40.6353304815,39.826,97.5353,60.6427,1182,,,,,
4500,2.69718932306,24.751379761,43.7628873121,32.6468,90.2852,24.6124,2524,,,,,
5400,2.76682947666,22.9094954078,44.6097619033,31.0559,88.3888,23.9244,2524,,,,,
18000,6.34046975966,32.4929035722,39.2380833456,44.0438,102.0245,69.4267,1182,,,,,
6300,3.68204516036,31.1968938719,41.8018530746,39.5615,96.3602,40.0613,2524,,,,,
18900,5.60495873703,28.0315073918,40.7666640378,39.0203,96.8343,54.6311,1182,,,,,
7200,3.91238304765,31.2870372095,41.6881569053,39.7284,96.5269,41.7164,2524,,,,,
19800,5.50563011574,28.2779632914,41.0709650459,39.0911,96.5855,54.416,1182,,,,,
8100,6.57075358774,38.6123872885,38.3216128584,48.9319,107.4403,80.1778,2524,,,,,
20700,5.42330629996,27.646752311,41.0317071094,38.1603,95.9581,52.744,1182,,,,,
9000,7.72228214569,44.9450119457,36.2217412854,56.5901,115.0199,106.8382,2524,,,,,
21600,5.05788934191,27.8000347527,41.0031491858,38.2789,95.9651,48.3636,1182,,,,,
9900,10.868311313,56.8605486205,33.1832951592,70.9681,129.2583,168.4364,2524,,,,,
