Time,Baseline,PPO (StopReward)
10:15:00 AM,24.64,24.63
10:30:00 AM,26.44,26.29
10:45:00 AM,31.43,24.3
11:00:00 AM,29.65,24.93
11:15:00 AM,24.18,24.46
11:30:00 AM,25.85,23.88
11:45:00 AM,22.09,27.13
12:00:00 PM,26.23,24.52
12:15:00 PM,24.49,20.21
12:30:00 PM,21.93,28.18
12:45:00 PM,25.53,25.17
01:00:00 PM,26.84,23.55
01:15:00 PM,27.63,23.92
01:30:00 PM,23.28,18.61
01:45:00 PM,24.63,20.94
02:00:00 PM,25.39,26.72
