time,offset1,offset2,offset3,offset4,offset5
1800,40,40,5,0,5
2700,40,40,5,0,5
3600,40,40,5,0,5
4500,40,40,5,0,5
5400,40,40,5,0,5
6300,40,40,5,0,5
7200,0,0,55,55,55
8100,0,0,55,55,55
9000,0,0,55,55,55
9900,0,0,55,55,55
10800,0,0,55,55,55
11700,0,0,55,55,55
12600,0,0,55,55,55
13500,0,0,55,55,55
14400,0,0,55,55,55
