time,offset1,offset2,offset3,offset4,offset5
1800,75,66,14,19,48
2700,75,66,14,19,48
3600,40,40,5,0,5
4500,40,40,5,0,5
5400,40,40,5,0,5
6300,60,60,65,75,5
7200,60,60,65,75,5
8100,60,60,65,75,5
9000,60,60,65,75,5
9900,60,60,65,75,5
10800,60,60,65,75,5
11700,60,60,65,75,5
12600,60,60,65,75,5
13500,60,60,65,75,5
14400,60,60,65,75,5
15300,40,40,5,0,5
16200,40,40,5,0,5
17100,40,40,5,0,5
18000,40,40,5,0,5
18900,40,40,5,0,5
19800,40,40,5,0,5
20700,40,40,5,0,5
21600,40,40,5,0,5
