training_iteration,episode_reward_max,five_min,te,s,thirty_min,ten_min_1,www,rand_min,,,ten_min
36,-8.512555066,-8.47299957275391,-9.58014430294871,-7.470516674,-8.83233364066251,-8.79236903691724,-8.238668597,-8.52158447662098,-1422.04125976563,,-7.74285596505171
37,-8.512555066,-8.47299957275391,-9.58014430294871,-7.470516674,-8.89213640041895,-8.79236903691724,-7.647979408,-7.91061102087072,-1496.70104980469,,-8.14937019006706
38,-9.249198664,-8.47299957275391,-9.58014430294871,-7.519321536,-8.89213640041895,-8.79236903691724,-7.647979408,-7.91061102087072,-1485.6435546875,,-8.08916336312818
39,-9.654745441,-8.47299957275391,-9.54807129610561,-7.771230894,-8.80385058977199,-8.76293339342685,-7.647979408,-7.91061102087072,-1591.32385253906,,-8.66458079141242
40,-7.938002507,-8.47299957275391,-9.27233048267995,-7.771230894,-8.80385058977199,-8.50986674708918,-7.95500769,-8.2281826540746,-1476.78259277344,,-8.04091641435561
41,-7.938002507,-8.47299957275391,-9.27233048267995,-7.771230894,-8.84059964546255,-8.50986674708918,-7.95500769,-8.2281826540746,-1828.78894042969,,-9.95755169478023
42,-7.938002507,-8.47299957275391,-9.27233048267995,-8.015727973,-8.84059964546255,-8.50986674708918,-8.26311855,-8.546874041007,-1592.42639160156,,-8.67058399356859
43,-9.106799807,-8.47299957275391,-9.58173487392649,-7.989191054,-8.88420326874868,-8.79382881524352,-8.567549146,-8.86175878367364,-1296.26391601563,,-7.05801236460403
44,-8.110953684,-8.47299957275391,-9.60884448749629,-7.989191054,-8.88420326874868,-8.81870920528947,-7.922623684,-8.19468658130856,-1799.26306152344,,-9.79678657911099
45,-8.110953684,-8.47299957275391,-9.36395819530173,-7.781419606,-8.83624541682101,-8.59395991290207,-7.922623684,-8.19468658130856,-1490.62609863281,,-8.11629275887754
46,-8.110953684,-8.47299957275391,-9.36395819530173,-7.781419606,-8.81015726060117,-8.59395991290207,-7.922623684,-8.19468658130856,-1435.86828613281,,-7.81814258057773
47,-8.979720073,-8.47299957275391,-9.99669123903886,-7.887230097,-8.81015726060117,-9.1746633184527,-7.995469928,-8.27003436532752,-1626.79040527344,,-8.8576922131193
48,-8.979720073,-8.47299957275391,-9.56041776506122,-7.910104096,-8.81015726060117,-8.77426461224024,-8.83624541682101,-9.13968208443464,-2258.30493164062,,-12.29621833458
49,-8.919175569,-8.47299957275391,-9.56041776506122,-7.635747892,-8.75182176149332,-8.77426461224024,-8.83624541682101,-9.13968208443464,-1533.93200683594,,-8.35208859626964
50,-8.588760141,-8.47299957275391,-9.5066886382418,-7.635747892,-8.75182176149332,-8.72495363151918,-8.81015726060117,-9.11269806093021,-1350.60046386719,,-7.35386880390463
51,-8.588760141,-8.64980697631836,-9.26962290391721,-7.635747892,-8.75182176149332,-8.5073818125281,-8.81015726060117,-9.11269806093021,-1362.13317871094,,-7.41666314922193
52,-8.670356825,-8.64980697631836,-9.26962290391721,-7.85850868,-8.82655074535843,-8.5073818125281,-8.81015726060117,-9.11269806093021,-1516.35607910156,,-8.25638963116236
53,-8.670356825,-8.64980697631836,-9.26962290391721,-7.942620036,-8.84713788020809,-8.5073818125281,-8.75182176149332,-9.052359320783,-1575.16638183594,,-8.57660516654591
54,-8.37252239,-8.64980697631836,-9.65726970655614,-7.942620036,-8.83546457778162,-8.86315241858603,-8.75182176149332,-9.052359320783,-1461.30700683594,,-7.9566535759422
55,-8.37252239,-8.56945991516113,-9.65726970655614,-7.807033977,-8.83546457778162,-8.86315241858603,-8.75182176149332,-9.052359320783,-1354.26782226563,,-7.37383716112093
56,-8.37252239,-8.56945991516113,-9.65726970655614,-7.807033977,-8.83546457778162,-8.86315241858603,-8.82655074535843,-9.12965449795404,-1480.59143066406,,-8.06165511161831
57,-8.891543483,-8.22311305999756,-9.66132130276136,-7.807033977,-8.85646659798142,-8.86687085203529,-8.84713788020809,-9.15094859501443,-1444.03491210938,,-7.86260894765585
58,-8.891543483,-8.22311305999756,-9.06861487244385,-7.952880899,-8.85646659798142,-8.32290267148279,-8.83546457778162,-9.13887443138264,,,-12.2718399633794
59,-8.891543483,-8.22311305999756,-9.06861487244385,-7.952880899,-8.85646659798142,-8.32290267148279,-8.83546457778162,-9.13887443138264,,,-8.60185689997339
60,-8.051488408,-8.22311305999756,-9.06861487244385,-7.889445719,-8.85646659798142,-8.32290267148279,-8.83546457778162,-9.13887443138264,,,-7.79234582658248
61,-8.051488408,-8.22311305999756,-9.49006130836064,-7.639271506,-8.88596687607595,-8.70969356697415,-8.85646659798142,-9.1605976609561,,,-8.21005690096925
62,-8.051488408,-8.22311305999756,-9.51541948980463,-7.639271506,-8.88596687607595,-8.732966545158,-8.85646659798142,-9.1605976609561,,,-7.66735001198014
63,-8.715038427,-8.22311305999756,-9.4289077630405,-7.639271506,-8.87035147364479,-8.65356867768568,-8.85646659798142,-9.1605976609561,,,-8.50061401223718
64,-8.715038427,-8.22311305999756,-9.4289077630405,-8.31482264,-8.84244319747523,-8.65356867768568,-8.85646659798142,-9.1605976609561,,,-8.18078397920643
65,-8.423268479,-8.22311305999756,-9.4289077630405,-8.031777612,-8.84244319747523,-8.65356867768568,-8.88596687607595,-9.1911109786004,,,-8.10916428864671
66,-8.423268479,-8.22311305999756,-9.54295831699839,-7.791405765,-8.84244319747523,-8.75824085459161,-8.88596687607595,-9.1911109786004,,,-8.33345221614821
67,-8.423268479,-8.22311305999756,-9.62814632188546,-7.791405765,-8.85905997600898,-8.83642384983682,-8.87035147364479,-9.17495934324975,,,-7.99239761995839
68,-8.588595375,-8.22311305999756,-9.62814632188546,-7.791405765,-8.89927008523513,-8.83642384983682,-8.84244319747523,-9.14609269687653,,,-8.54038256788485
69,-8.469485003,-8.22311305999756,-9.55981491159989,-8.365077269,-8.79392435439305,-8.77371133141903,-8.84244319747523,-9.14609269687653,,,-8.58488682053903
70,-8.469485003,-8.22311305999756,-9.32562287899932,-8.365077269,-8.79392435439305,-8.55877690965921,-8.84244319747523,-9.14609269687653,,,-8.76639462142633
71,-8.658643245,-8.22311305999756,-9.32562287899932,-7.731545795,-8.79392435439305,-8.55877690965921,-8.85905997600898,-9.16328009558513,,,-8.36022269591392
72,-8.658643245,-8.22311305999756,-9.32562287899932,-7.731545795,-8.85715853301721,-8.55877690965921,-8.89927008523513,-9.2048710199621,,,-8.29296715785169
73,-8.57626385,-8.58623790740967,-9.36201282777314,-7.6757608,-8.85715853301721,-8.59217451294536,-8.79392435439305,-9.0959077167229,,,-8.10462666009045
74,-8.57626385,-8.58623790740967,-9.31163472430862,-7.51550164,-8.85715853301721,-8.54593900092872,-8.79392435439305,-9.0959077167229,,,-12.5808759305315
75,-9.016559774,-8.58623790740967,-9.31163472430862,-7.51550164,-8.83233364066251,-8.54593900092872,-8.79392435439305,-9.0959077167229,,,-7.53055583140413
76,-9.884929991,-8.58623790740967,-9.31163472430862,-7.51550164,-8.83233364066251,-8.54593900092872,-8.85715853301721,-9.16131335704102,,,-7.68302932319182
77,-8.86375506,-8.58623790740967,-9.41900578218496,-7.53437229,-8.83233364066251,-8.64448093671589,-8.85715853301721,-9.16131335704102,,,-7.87082878834067
78,-8.86375506,-8.58623790740967,-9.50003244447609,-7.53437229,-8.89213640041895,-8.71884477656682,-8.85715853301721,-9.16131335704102,,,-7.58527323777084
79,-8.762796782,-8.58623790740967,-9.54604700137822,-7.39764924,-8.89213640041895,-8.76107555645489,-8.83233364066251,-9.13563597788286,,,-8.25346047794023
80,-9.313741643,-8.58623790740967,-9.54604700137822,-7.39764924,-8.80385058977199,-8.76107555645489,-8.83233364066251,-9.13563597788286,,,-8.36886525986837
81,-8.500369553,-8.59169864654541,-9.54604700137822,-7.39764924,-8.80385058977199,-8.76107555645489,-8.83233364066251,-9.13563597788286,,,-9.27006009196428
82,-8.500369553,-8.59169864654541,-9.61964623841818,-8.021416893,-8.84059964546255,-8.82862272823306,-8.89213640041895,-9.19749236440934,,,-8.92265467684154
83,-8.826263116,-8.59169864654541,-9.49818178958606,-8.00704999,-8.84059964546255,-8.7171463010284,-8.89213640041895,-9.19749236440934,,,-7.95303317712193
84,-8.826263116,-8.59169864654541,-9.49818178958606,-8.00704999,-8.88420326874868,-8.7171463010284,-8.80385058977199,-9.10617481902476,,,-8.11852534922769
85,-8.885223047,-8.59169864654541,-9.49818178958606,-7.686147795,-8.88420326874868,-8.7171463010284,-8.80385058977199,-9.10617481902476,,,-8.46503679768746
86,-9.258934623,-8.59169864654541,-9.18403274616005,-7.686147795,-8.58623790740967,-8.42882973344331,-8.84059964546255,-9.14418583728773,,,-7.5880495193703
87,-9.258934623,-8.59169864654541,-9.18403274616005,-7.775878782,-8.58623790740967,-8.42882973344331,-8.84059964546255,-9.14418583728773,,,-7.17301436303941
88,-9.38736521,-8.59169864654541,-9.17070682825168,-7.775878782,-8.58623790740967,-8.41659960576454,-8.88420326874868,-9.18928680899751,,,-9.56493017696907
89,-8.432812978,-8.59169864654541,-9.1094420331656,-7.775878782,-8.58623790740967,-8.36037261477839,-8.88420326874868,-9.18928680899751,,,-7.70931659569806
90,-8.432812978,-8.59169864654541,-9.1094420331656,-7.941960066,-8.58623790740967,-8.36037261477839,-8.83624541682101,-9.13968208443464,,,-13.1980452576027
91,-8.432812978,-8.59169864654541,-9.1094420331656,-8.219312843,-8.59169864654541,-8.36037261477839,-8.81015726060117,-9.11269806093021,,,-7.75360151080667
92,-8.622794162,-8.59169864654541,-9.63603904176575,-8.016027186,-8.59169864654541,-8.84366755136135,-8.81015726060117,-9.11269806093021,,,-8.0028028601881
93,-8.772611654,-8.59169864654541,-9.53037807319681,-8.016027186,-8.59169864654541,-8.74669508423784,-8.81015726060117,-9.11269806093021,,,-7.74285596505171
94,-8.211991572,-8.59169864654541,-9.39981970768737,-8.016027186,-8.59169864654541,-8.62687253312424,-8.75182176149332,-9.052359320783,,,-8.14937019006706
95,-8.211991572,-8.6377477645874,-9.39981970768737,-8.288898261,-8.59169864654541,-8.62687253312424,-8.75182176149332,-9.052359320783,,,-8.08916336312818
96,-8.211991572,-8.33231067657471,-9.39981970768737,-8.220526738,-8.59169864654541,-8.62687253312424,-8.75182176149332,-9.052359320783,,,-8.66458079141242
97,-8.354332428,-8.33231067657471,-9.40357438728757,-7.748291712,-8.59169864654541,-8.63031846542091,-8.82655074535843,-9.12965449795404,,,-8.04091641435561
98,-8.064995122,-8.33231067657471,-9.33048404275798,-7.748291712,-8.59169864654541,-8.56323833992199,-8.84713788020809,-9.15094859501443,,,-9.95755169478023
99,-8.064995122,-8.33231067657471,-9.2426801649963,-7.507746862,-8.59169864654541,-8.48265457502865,-8.83546457778162,-9.13887443138264,,,-8.67058399356859
100,-8.064995122,-8.33231067657471,-9.2426801649963,-7.507746862,-8.59169864654541,-8.48265457502865,-8.83546457778162,-9.13887443138264,,,-7.05801236460403
101,-8.648568255,-8.33231067657471,-9.2426801649963,-9.29921985178071,-8.59169864654541,-8.48265457502865,-8.83546457778162,-9.13887443138264,,,-9.79678657911099
102,-8.238380424,-8.33231067657471,-9.201308030759,-9.33391248993646,-8.59169864654541,-8.44468447138969,-8.85646659798142,-9.1605976609561,,,-8.11629275887754
103,-8.238380424,-8.33231067657471,-9.201308030759,-9.31905237762088,-8.59169864654541,-8.44468447138969,-8.85646659798142,-9.1605976609561,,,-7.81814258057773
104,-8.238380424,-8.33231067657471,-9.201308030759,-9.31905237762088,-8.59169864654541,-8.44468447138969,-8.85646659798142,-9.1605976609561,,,-8.8576922131193
105,-8.521580364,-8.33231067657471,-9.28035249282877,-9.12272660825555,-8.6377477645874,-8.51722910734346,-8.85646659798142,-9.1605976609561,,,-12.29621833458
106,-8.104530541,-8.33231067657471,-9.28035249282877,-9.12272660825555,-8.33231067657471,-8.51722910734346,-8.88596687607595,-9.1911109786004,,,-8.35208859626964
107,-8.104530541,-8.33231067657471,-9.28035249282877,-9.13857443808758,-8.33231067657471,-8.51722910734346,-8.88596687607595,-9.1911109786004,,,-7.35386880390463
108,-9.239777815,-8.33231067657471,-9.64943336324642,-9.13857443808758,-8.33231067657471,-8.85596045778667,-8.87035147364479,-9.17495934324975,,,-7.41666314922193
109,-7.707257165,-8.33231067657471,-9.06274795066616,-9.58014430294871,-8.33231067657471,-8.31751818668288,-8.84244319747523,-9.14609269687653,,,-8.25638963116236
110,-7.707257165,-8.33231067657471,-9.06274795066616,-9.58014430294871,-8.33231067657471,-8.31751818668288,-8.84244319747523,-9.14609269687653,,,-8.57660516654591
111,-8.189429885,-8.33231067657471,-9.06274795066616,-9.54807129610561,-8.33231067657471,-8.31751818668288,-8.84244319747523,-9.14609269687653,,,-7.9566535759422
112,-8.189429885,-8.33231067657471,-9.33873682100234,-9.27233048267995,-8.33231067657471,-8.57081249221132,-8.85905997600898,-9.16328009558513,,,-7.37383716112093
113,-8.952673265,-8.49750328063965,-9.33873682100234,-9.27233048267995,-8.33231067657471,-8.57081249221132,-8.89927008523513,-9.2048710199621,,,-8.06165511161831
114,-8.660697389,-8.49750328063965,-9.08714096522192,-9.27233048267995,-8.33231067657471,-8.33990536365172,-8.79392435439305,-9.0959077167229,,,-7.86260894765585
115,-8.660697389,-8.49750328063965,-9.08714096522192,-9.58173487392649,-8.33231067657471,-8.33990536365172,-8.79392435439305,-9.0959077167229,,,-12.2718399633794
116,-8.57301528,-8.49750328063965,-9.08714096522192,-9.60884448749629,-8.33231067657471,-8.33990536365172,-8.79392435439305,-9.0959077167229,,,-8.60185689997339
117,-8.57301528,-8.49750328063965,-9.36023658995627,-9.36395819530173,-8.33231067657471,-8.59054433516417,-8.85715853301721,-9.16131335704102,,,-7.79234582658248
118,-8.27122542,-8.49750328063965,-9.18800391179125,-9.36395819530173,-8.33231067657471,-8.43247435012466,-8.85715853301721,-9.16131335704102,,,-8.21005690096925
119,-8.27122542,-8.49750328063965,-9.18800391179125,-9.99669123903886,-8.33231067657471,-8.43247435012466,-8.85715853301721,-9.16131335704102,,,-7.66735001198014
120,-8.07970677,-8.37270164489746,-9.24907627484978,-9.56041776506122,-8.33231067657471,-8.48852473276888,-8.83233364066251,-9.13563597788286,,,-8.50061401223718
121,-7.546889819,-8.37270164489746,-9.24907627484978,-9.56041776506122,-8.33231067657471,-8.48852473276888,-8.83233364066251,-9.13563597788286,,,-8.18078397920643
122,-7.546889819,-8.37270164489746,-9.21126112637186,-9.5066886382418,-8.33231067657471,-8.4538191239503,-8.83233364066251,-9.13563597788286,,,-8.10916428864671
123,-7.935200222,-8.37270164489746,-9.21126112637186,-9.26962290391721,-8.49750328063965,-8.4538191239503,-8.89213640041895,-9.19749236440934,,,-8.33345221614821
124,-8.360224038,-8.37270164489746,-9.21126112637186,-9.26962290391721,-8.49750328063965,-8.4538191239503,-8.89213640041895,-9.19749236440934,,,-7.99239761995839
125,-8.360224038,-8.37270164489746,-9.42347982682568,-9.26962290391721,-8.49750328063965,-8.64858708066581,-8.80385058977199,-9.10617481902476,,,-8.54038256788485
126,-8.446783147,-8.16848468780518,-9.52183138509786,-9.65726970655614,-8.49750328063965,-8.73885119030126,-8.80385058977199,-9.10617481902476,,,-8.58488682053903
127,-7.893757992,-8.16848468780518,-9.3754950967039,-9.65726970655614,-8.49750328063965,-8.60454813490194,-8.84059964546255,-9.14418583728773,,,-8.76639462142633
128,-7.893757992,-8.16848468780518,-9.28685083219688,-9.65726970655614,-8.49750328063965,-8.52319308826533,-8.84059964546255,-9.14418583728773,,,-8.36022269591392
129,-7.893757992,-8.16848468780518,-9.28685083219688,-9.66132130276136,-8.49750328063965,-8.52319308826533,-8.88420326874868,-9.18928680899751,,,-8.29296715785169
130,-8.316229831,-8.16848468780518,-9.28685083219688,-9.06861487244385,-8.37270164489746,-8.52319308826533,-8.88420326874868,-9.18928680899751,,,-8.10462666009045
131,-8.812992834,-8.16848468780518,-9.13418383077131,-9.06861487244385,-8.37270164489746,-8.38307989436699,-8.58623790740967,-8.88108931715012,,,-12.5808759305315
132,-8.159375441,-8.16848468780518,-9.13418383077131,-9.06861487244385,-8.37270164489746,-8.38307989436699,-8.58623790740967,-8.88108931715012,,,-7.53055583140413
133,-8.159375441,-8.16848468780518,-9.13418383077131,-9.49006130836064,-8.37270164489746,-8.38307989436699,-8.58623790740967,-8.88108931715012,,,-7.68302932319182
134,-8.159375441,-8.16848468780518,-9.41485496321553,-9.51541948980463,-8.37270164489746,-8.64067143959032,-8.58623790740967,-8.88108931715012,,,-7.87082878834067
135,-8.7306232,-8.16848468780518,-9.43190699659501,-9.4289077630405,-8.37270164489746,-8.656321284265,-8.58623790740967,-8.88108931715012,,,-7.58527323777084
136,-8.884789259,-8.16848468780518,-9.19896426879836,-9.4289077630405,-8.16848468780518,-8.44253343697507,-8.59169864654541,-8.88673757806778,,,-8.25346047794023
137,-8.688749067,-8.16848468780518,-9.19896426879836,-9.4289077630405,-8.16848468780518,-8.44253343697507,-8.59169864654541,-8.88673757806778,,,-8.36886525986837
138,-8.688749067,-8.16848468780518,-9.19896426879836,-9.54295831699839,-8.16848468780518,-8.44253343697507,-8.59169864654541,-8.88673757806778,,,-9.27006009196428
139,-9.000182458,-8.16848468780518,-9.32187646796281,-9.62814632188546,-8.16848468780518,-8.55533856600223,-8.59169864654541,-8.88673757806778,,,-8.92265467684154
140,-8.475999317,-8.16848468780518,-9.34941980528222,-9.62814632188546,-8.16848468780518,-8.58061701469386,-8.59169864654541,-8.88673757806778,,,-7.95303317712193
141,-8.475999317,-8.16848468780518,-9.30869938420075,-9.55981491159989,-8.16848468780518,-8.54324503383792,-8.59169864654541,-8.88673757806778,,,-8.11852534922769
142,-8.305444238,-8.16848468780518,-9.29745413759035,-9.32562287899932,-8.16848468780518,-8.5329244838563,-8.59169864654541,-8.88673757806778,,,-8.46503679768746
143,-8.305444238,-8.39625835418701,-9.29745413759035,-9.32562287899932,-8.16848468780518,-8.5329244838563,-8.59169864654541,-8.88673757806778,,,-7.5880495193703
144,-8.305444238,-8.16350269317627,-9.29745413759035,-9.32562287899932,-8.16848468780518,-8.5329244838563,-8.59169864654541,-8.88673757806778,,,-7.17301436303941
145,-8.420888839,-8.16350269317627,-9.34165787904566,-9.36201282777314,-8.16848468780518,-8.57349335165174,-8.59169864654541,-8.88673757806778,,,-9.56493017696907
146,-8.235257448,-8.16350269317627,-9.34165787904566,-9.31163472430862,-8.16848468780518,-8.57349335165174,-8.59169864654541,-8.88673757806778,,,-7.70931659569806
147,-8.235257448,-8.16350269317627,-9.29901013093818,-9.31163472430862,-8.16848468780518,-8.53435252787114,-8.59169864654541,-8.88673757806778,,,-13.1980452576027
148,-8.286344509,-8.16350269317627,-9.29901013093818,-9.31163472430862,-8.16848468780518,-8.53435252787114,-8.59169864654541,-8.88673757806778,,,-7.75360151080667
149,-7.973621805,-8.16350269317627,-9.29901013093818,-9.41900578218496,-8.16848468780518,-8.53435252787114,-8.59169864654541,-8.88673757806778,,,-8.0028028601881
150,-7.973621805,-8.16350269317627,-9.25022635688948,-9.50003244447609,-8.16848468780518,-8.48958024356246,-8.6377477645874,-8.93436802282333,,,-7.74285596505171
151,-7.973621805,-8.16350269317627,-9.25022635688948,-9.54604700137822,-8.16848468780518,-8.48958024356246,-8.33231067657471,-8.61844222520829,,,-8.14937019006706
152,-8.331896064,-8.16350269317627,-9.25022635688948,-9.54604700137822,-8.16848468780518,-8.48958024356246,-8.33231067657471,-8.61844222520829,,,-8.08916336312818
153,-7.703242091,-8.16350269317627,-9.25399231180379,-9.54604700137822,-8.39625835418701,-8.49303652400416,-8.33231067657471,-8.61844222520829,,,-8.66458079141242
154,-7.703242091,-8.16350269317627,-9.2871770646186,-9.61964623841818,-8.16350269317627,-8.52349249459501,-8.33231067657471,-8.61844222520829,,,-8.04091641435561
155,-8.112765,-8.16350269317627,-9.2871770646186,-9.49818178958606,-8.16350269317627,-8.52349249459501,-8.33231067657471,-8.61844222520829,,,-9.95755169478023
156,-8.415604325,-8.16350269317627,-9.20268587414382,-9.49818178958606,-8.16350269317627,-8.44594901471297,-8.33231067657471,-8.61844222520829,,,-8.67058399356859
157,-8.415604325,-8.16350269317627,-9.20268587414382,-9.49818178958606,-8.16350269317627,-8.44594901471297,-8.33231067657471,-8.61844222520829,,,-7.05801236460403
158,-8.409870699,-8.16350269317627,-9.20268587414382,-9.18403274616005,-8.16350269317627,-8.44594901471297,-8.33231067657471,-8.61844222520829,,,-9.79678657911099
159,-8.400555623,-8.16350269317627,-9.23366968564344,-9.18403274616005,-8.16350269317627,-8.47438502739298,-8.33231067657471,-8.61844222520829,,,-8.11629275887754
160,-7.893044822,-8.16350269317627,-9.23366968564344,-9.17070682825168,-8.16350269317627,-8.47438502739298,-8.33231067657471,-8.61844222520829,,,-7.81814258057773
161,-7.710994784,-8.75060653686523,-9.29921985178071,-9.1094420331656,-8.16350269317627,-8.53454500336878,-8.33231067657471,-8.61844222520829,,,-8.8576922131193
162,-7.710994784,-8.75060653686523,-9.33391248993646,-9.1094420331656,-8.16350269317627,-8.56638486588899,-8.33231067657471,-8.61844222520829,,,-12.29621833458
163,-8.392447525,-8.75060653686523,-9.31905237762088,-9.1094420331656,-8.16350269317627,-8.55274670060912,-8.33231067657471,-8.61844222520829,,,-8.35208859626964
164,-7.607482025,-8.72745513916016,-9.31905237762088,-9.63603904176575,-8.16350269317627,-8.55274670060912,-8.33231067657471,-8.61844222520829,,,-7.35386880390463
