index,time ,reward,1,2,3,4,5,6,7,8,delay,replication
106,11700,-2414.4802,30,30,15,68,23,14,44,59,48.6618919372559,8050297
107,12600,-112.4787,5,28,15,16,21,30,43,35,25.438777923584,8050315
108,13500,-2655.3223,30,16,26,21,14,6,19,28,31.7561359405518,8050315
109,13500,-17962.9854,5,6,26,15,27,30,37,53,31.1793842315674,8050322
110,14400,-7255.8517,5,16,26,60,30,30,16,17,0,8050315
111,11700,-1747.3027,30,30,24,18,16,9,58,33,48.6618919372559,8050297
112,13500,-146.5783,30,30,59,39,30,28,41,59,31.1793842315674,8050322
113,13500,-484.9478,20,20,28,15,30,30,54,34,33.6410331726074,8050322
114,12600,-14622.9536,22,30,46,45,30,30,44,28,51.6829681396484,8050297
115,12600,-1965.0537,21,30,15,68,30,14,33,21,25.438777923584,8050315
116,13500,-21.8029,30,30,68,15,30,30,39,53,25.438777923584,8050315
117,14400,-10680.6032,13,22,52,54,30,30,17,43,31.7561359405518,8050315
118,12600,-419.0266,30,5,41,45,16,30,32,37,51.6829681396484,8050297
119,900,-3.9415,5,16,26,60,30,30,16,17,15.5127649307251,8050297
120,14400,-142.5548,30,30,55,22,30,30,60,34,36.6276054382324,8050322
121,14400,-401.0544,30,30,29,68,30,30,54,24,39.8253021240234,8050322
122,1800,-3.9602,30,30,62,40,21,30,15,22,15.5588264465332,8050297
123,12600,-2127.0901,14,30,15,38,16,30,35,27,51.6829681396484,8050297
124,13500,-6831.6124,30,21,56,32,19,30,30,52,41.7176246643066,8050297
125,14400,-9417.5871,30,28,66,57,29,30,41,31,31.8743877410889,8050322
126,14400,-4076.1692,20,30,37,15,17,20,15,16,41.7176246643066,8050297
127,2700,-13.6209,5,30,32,15,5,30,68,65,16.5875205993652,8050297
128,13500,-14144.2466,30,30,50,21,29,20,30,34,52.0832290649414,8050297
129,3600,-13.811,30,17,56,66,30,6,22,40,20.7456283569336,8050297
130,13500,-12727.0859,30,30,29,23,18,18,51,45,41.7176246643066,8050297
131,900,-9.2672,30,28,66,57,29,30,41,31,15.5588264465332,8050297
132,14400,-4405.7999,30,30,57,32,20,30,41,23,41.7176246643066,8050297
133,900,-566.5968,30,30,29,68,30,30,54,24,27.0592956542969,8050315
134,900,-681.6319,13,22,52,54,30,30,17,43,29.8472099304199,8050322
135,4500,-174.3565,5,30,29,50,8,30,34,41,24.7807636260986,8050297
136,900,-612.4486,30,30,55,22,30,30,60,34,27.0592956542969,8050315
137,1800,-6.7807,30,30,67,59,25,15,21,54,29.8472099304199,8050322
138,1800,-8.1065,30,30,30,34,5,30,15,28,17.0507488250732,8050297
139,1800,-38.8129,7,20,25,58,23,11,42,40,27.5286865234375,8050315
140,14400,-8351.1603,30,22,26,44,19,30,31,55,31.0886058807373,8050297
141,5400,-3.2664,30,5,42,62,5,23,39,66,25.0091590881348,8050297
142,2700,-3.1403,26,26,69,60,30,30,36,52,16.5875205993652,8050297
143,3600,-4.2316,7,30,50,15,23,14,61,68,16.5875205993652,8050297
144,1800,-230.7789,30,30,15,15,27,30,48,23,25.9638748168945,8050315
145,900,-751.0576,20,30,37,15,17,20,15,16,27.5286865234375,8050315
146,900,-343.7414,30,30,57,32,20,30,41,23,27.0592956542969,8050315
147,2700,-197.6413,30,5,15,16,30,24,42,36,25.9638748168945,8050315
148,6300,-114.0148,30,5,23,40,5,30,64,37,25.0091590881348,8050297
149,2700,-391.5874,7,6,44,15,30,14,29,57,24.8130264282227,8050322
150,3600,-14.6968,30,30,15,42,5,18,36,52,24.8130264282227,8050322
151,2700,-66.2451,21,30,66,18,30,18,37,36,26.3676567077637,8050315
152,3600,-34.5579,28,5,66,43,24,30,44,41,26.3676567077637,8050315
153,900,-262.8974,30,22,26,44,19,30,31,55,27.7501888275146,8050315
154,4500,-124.5074,5,30,15,15,5,30,55,32,24.7807636260986,8050297
155,1800,-13.1689,30,30,18,15,29,14,33,15,27.0592956542969,8050315
156,7200,-181.3494,14,30,51,18,30,6,42,15,25.0247287750244,8050297
157,1800,-79.338,30,30,42,19,29,30,49,65,25.9638748168945,8050315
158,3600,-172.6999,30,7,15,32,5,30,43,42,25.8053112030029,8050315
159,8100,-117.781,9,30,15,32,30,30,36,34,44.7715644836426,8050297
160,4500,-1441.0885,24,30,49,66,28,30,21,15,23.9636917114258,8050322
161,5400,-33.4861,5,25,15,26,23,27,62,29,25.0091590881348,8050297
162,1800,-503.5181,30,30,15,35,29,30,30,47,25.9638748168945,8050315
163,2700,-33.0385,7,7,50,43,30,30,30,33,25.9638748168945,8050315
164,4500,-73.4749,30,8,15,34,20,14,62,31,23.0161209106445,8050315
165,6300,-104.1002,30,30,61,57,16,28,62,20,25.0247287750244,8050297
166,5400,-333.7698,30,28,18,15,30,30,30,65,23.2998561859131,8050322
167,4500,-147.2377,21,27,15,47,30,30,51,61,23.0161209106445,8050315
168,2700,-572.2901,7,30,31,15,5,30,37,65,25.9638748168945,8050315
169,5400,-92.3998,30,30,15,32,30,26,60,61,23.0161209106445,8050315
170,3600,-5.1569,30,30,33,15,30,30,37,64,25.9638748168945,8050315
171,2700,-88.1157,30,30,54,68,30,30,21,41,26.3676567077637,8050315
172,7200,-113.6841,9,30,32,59,27,30,44,15,25.0247287750244,8050297
173,3600,-557.7532,30,30,26,15,30,30,45,16,25.8053112030029,8050315
174,6300,-52.9881,13,30,43,19,30,30,66,63,23.8996238708496,8050322
175,3600,-90.7503,7,30,29,50,30,30,15,15,26.3676567077637,8050315
176,5400,-50.5566,15,30,15,55,30,30,30,34,26.5685062408447,8050315
177,8100,-266.4188,30,30,37,59,5,30,35,25,44.7715644836426,8050297
178,4500,-283.3429,5,29,29,15,5,30,32,46,25.8053112030029,8050315
179,6300,-550.3991,30,30,36,69,30,30,50,23,26.5685062408447,8050315
180,4500,-196.4035,12,30,60,15,13,30,51,39,25.8053112030029,8050315
181,9000,-2229.5151,30,30,61,63,30,22,37,15,59.1184997558594,8050297
182,4500,-138.0991,30,30,15,27,30,22,48,37,25.8053112030029,8050315
183,5400,-471.3183,30,30,15,16,30,30,31,61,23.0161209106445,8050315
184,6300,-805.5218,30,9,68,15,30,30,57,55,24.5475311279297,8050315
185,5400,-37.9592,30,30,45,29,30,30,40,15,25.8053112030029,8050315
186,7200,-167.5231,30,15,57,66,30,30,32,48,24.5475311279297,8050315
187,7200,-441.1415,13,14,15,48,16,30,52,15,24.5475311279297,8050315
188,9900,-648.6565,30,30,18,33,30,14,33,23,59.1184997558594,8050297
189,7200,-1151.8829,22,30,18,19,17,30,53,49,33.8600654602051,8050322
190,8100,-74.328,30,5,51,54,30,30,61,30,33.8600654602051,8050322
191,9000,-476.3767,30,30,23,44,8,30,36,37,47.3009414672852,8050297
192,8100,-22.1128,30,19,50,15,30,30,40,35,28.5107021331787,8050315
193,6300,-1317.1044,30,30,26,15,30,30,18,64,26.5685062408447,8050315
194,5400,-828.7908,13,9,58,15,27,30,68,56,26.5685062408447,8050315
195,7200,-23.486,14,5,60,62,30,30,39,24,24.5475311279297,8050315
196,8100,-97.6473,30,30,46,15,11,30,36,41,26.8067989349365,8050315
197,6300,-35.4752,14,9,62,15,14,6,15,37,26.5685062408447,8050315
198,6300,-562.5448,14,30,54,15,30,30,54,39,26.5685062408447,8050315
199,9000,-1260.136,30,16,58,65,30,30,35,52,26.8067989349365,8050315
200,9900,-2708.7868,22,30,15,25,30,30,29,15,59.1184997558594,8050297
201,8100,-1236.9519,30,9,15,66,30,30,61,15,28.5107021331787,8050315
202,9000,-7215.2104,7,14,68,29,30,30,22,33,31.3536052703857,8050322
203,7200,-32.4843,13,30,57,15,30,30,21,30,26.5685062408447,8050315
204,10800,-1432.4122,30,30,22,42,30,30,52,58,40.6380348205566,8050297
205,9000,-1075.2214,30,30,59,51,30,30,66,69,26.8067989349365,8050315
206,9900,-452.3902,30,30,45,57,30,30,50,34,31.3536052703857,8050322
207,7200,-385.6275,30,5,15,15,30,30,32,67,28.5107021331787,8050315
208,9900,-67.695,30,19,15,41,30,30,59,16,29.1964740753174,8050315
209,10800,-1160.9267,30,15,15,44,30,30,32,61,52.7819595336914,8050297
210,8100,-333.0208,23,26,15,67,30,30,55,68,24.5475311279297,8050315
211,10800,-2584.2541,30,15,15,22,11,30,36,68,40.398868560791,8050322
212,9900,-1374.7264,5,30,64,62,30,29,51,61,28.163293838501,8050315
213,8100,-138.9912,10,20,68,15,25,30,30,28,26.8067989349365,8050315
214,9000,-4938.8591,30,28,54,15,15,29,15,66,29.1964740753174,8050315
215,11700,-264.1159,30,24,68,32,19,30,29,57,52.5205535888672,8050297
216,9000,-2167.8976,30,30,15,53,30,20,15,32,28.5107021331787,8050315
217,12600,-1875.4645,30,30,15,48,8,30,41,17,52.5205535888672,8050297
218,10800,-2437.4474,30,30,16,38,24,30,52,15,28.163293838501,8050315
219,10800,-64.4978,30,30,18,15,30,30,32,25,24.3637142181396,8050315
220,9000,-252.2558,10,20,46,49,30,30,51,34,29.1964740753174,8050315
221,9900,-221.6927,15,30,21,63,30,30,54,43,28.163293838501,8050315
222,11700,-1346.7123,28,30,63,56,30,30,53,46,37.0712890625,8050322
223,11700,-149.2852,30,19,62,69,30,18,57,23,24.3132076263428,8050315
224,11700,-816.0594,14,24,22,69,14,18,54,35,24.3132076263428,8050315
225,9900,-1673.3973,8,30,68,23,24,22,32,53,29.1964740753174,8050315
226,12600,-472.2495,30,30,21,49,30,5,51,16,24.3132076263428,8050315
227,9900,-202.059,15,10,61,48,14,30,31,69,29.1964740753174,8050315
228,11700,-1269.0707,21,20,30,25,25,30,37,55,52.5205535888672,8050297
229,10800,-2834.8096,30,30,57,15,30,25,52,23,24.3637142181396,8050315
230,12600,-715.5729,30,30,59,54,30,30,43,64,22.3405017852783,8050315
231,10800,-308.8951,30,30,24,33,30,24,20,15,28.163293838501,8050315
232,10800,-163.4081,30,12,18,69,13,30,30,69,28.163293838501,8050315
233,13500,-1352.6822,30,10,62,15,30,30,60,49,17.2570190429688,8050315
234,13500,-336.4031,25,30,61,16,14,5,37,41,17.2570190429688,8050315
235,14400,-417.269,30,30,60,28,30,18,29,55,0,8050315
236,12600,-5014.8665,14,30,29,38,23,30,30,53,37.0891304016113,8050322
237,11700,-694.8068,30,30,15,22,30,30,29,15,28.163293838501,8050315
238,14400,-904.5463,15,30,15,33,30,30,40,35,0,8050315
239,11700,-1338.5431,30,29,15,15,21,21,66,42,24.3132076263428,8050315
240,13500,-4624.0088,30,30,24,45,30,30,44,19,57.6941299438477,8050297
241,13500,-25.6677,14,5,22,15,30,30,32,30,37.0891304016113,8050322
242,12600,-715.8987,30,28,65,15,15,15,19,43,24.3132076263428,8050315
243,12600,-433.1216,30,30,55,58,30,18,32,48,60.4634284973145,8050297
244,12600,-3728.3301,30,19,68,49,30,29,15,35,24.3637142181396,8050315
245,11700,-6274.0938,5,24,44,15,30,30,21,15,24.3132076263428,8050315
246,13500,-3238.4996,26,30,55,60,29,30,44,55,60.4634284973145,8050297
247,900,-9.2672,15,30,15,33,30,30,40,35,15.5588264465332,8050297
248,13500,-6060.9981,20,15,15,15,30,30,22,15,22.3405017852783,8050315
249,1800,-4.3787,30,25,69,15,27,30,17,34,15.5588264465332,8050297
250,14400,-2353.3818,14,30,21,38,23,29,54,52,0,8050315
251,14400,-2867.6298,30,30,55,44,16,5,54,69,40.4662055969238,8050322
252,13500,-7039.7632,30,30,18,15,18,20,59,16,24.3132076263428,8050315
253,14400,-18559.5456,14,30,54,55,28,14,44,40,46.7270851135254,8050297
254,12600,-1615.1264,14,30,46,15,14,15,56,35,22.3405017852783,8050315
255,900,-272.4608,30,30,60,28,30,18,29,55,24.0039443969727,8050322
256,2700,-1.6981,30,30,41,40,30,5,26,29,17.0507488250732,8050297
257,13500,-6855.109,30,30,45,15,8,30,31,42,17.2570190429688,8050315
258,14400,-211.1001,24,6,15,66,30,30,25,43,0,8050315
259,14400,-8689.0224,30,30,34,49,29,30,26,57,57.6941299438477,8050297
260,14400,-1192.2079,14,30,61,15,30,30,32,69,17.2570190429688,8050315
261,900,-9.2672,14,30,21,38,23,29,54,52,15.5588264465332,8050297
262,3600,-80.63,30,30,37,36,28,21,15,15,16.5875205993652,8050297
263,1800,-95.6652,30,5,62,38,30,10,33,40,29.8472099304199,8050322
264,1800,-0.9932,30,30,15,61,17,7,36,29,15.5588264465332,8050297
265,4500,-96.301,30,5,25,66,6,30,31,59,24.7807636260986,8050297
266,2700,-90.8755,30,30,19,67,30,30,17,55,27.4050178527832,8050322
267,2700,-13.1078,30,24,58,15,5,30,15,37,16.5875205993652,8050297
268,900,-372.2641,14,30,54,55,28,14,44,40,27.0592956542969,8050315
269,5400,-4.2212,11,30,20,62,20,30,57,37,24.7807636260986,8050297
270,900,-372.2641,24,6,15,66,30,30,25,43,27.0592956542969,8050315
271,900,-517.4491,30,30,55,44,16,5,54,69,27.0592956542969,8050315
272,3600,-13.811,30,17,43,15,30,30,68,68,20.7456283569336,8050297
273,3600,-496.2076,30,30,37,69,10,15,22,66,24.8130264282227,8050322
274,4500,-21.1669,30,30,15,41,30,28,65,56,24.8130264282227,8050322
275,6300,-123.8821,9,5,61,63,9,30,55,67,25.0247287750244,8050297
276,900,-372.2641,14,30,61,15,30,30,32,69,27.0592956542969,8050315
277,4500,-97.0351,30,5,36,47,28,30,33,65,24.7807636260986,8050297
278,1800,-70.7018,12,30,54,37,8,15,29,40,27.5286865234375,8050315
279,1800,-70.7018,30,30,44,20,30,30,21,25,27.5286865234375,8050315
280,900,-331.0388,30,30,34,49,29,30,26,57,24.0039443969727,8050322
281,1800,-3.0933,30,16,40,22,30,24,41,64,27.0592956542969,8050315
282,1800,-362.165,30,30,67,18,30,30,29,25,25.9638748168945,8050315
283,7200,-126.4666,30,30,56,42,22,7,62,23,44.7715644836426,8050297
284,5400,-20.9835,5,19,16,57,6,30,55,15,25.0091590881348,8050297
285,2700,-454.0249,30,30,22,32,8,22,29,40,25.9638748168945,8050315
286,6300,-33.9722,23,30,48,23,14,30,15,23,25.0091590881348,8050297
287,2700,-71.4493,30,15,15,22,30,28,42,25,25.9638748168945,8050315
288,2700,-57.8265,30,5,54,68,17,18,44,25,25.9638748168945,8050315
289,2700,-1084.619,30,30,15,15,30,30,15,16,27.5286865234375,8050315
290,5400,-1517.3063,30,5,46,15,21,5,18,36,23.9636917114258,8050322
291,1800,-233.7605,30,8,62,23,30,30,51,56,29.8472099304199,8050322
292,6300,-878.4325,30,30,21,15,5,7,54,29,23.2998561859131,8050322
293,3600,-168.9298,30,12,18,45,7,14,39,35,25.9638748168945,8050315
294,8100,-3342.0016,30,20,58,58,30,30,21,48,47.3009414672852,8050297
295,3600,-12.482,28,5,61,68,30,30,30,41,26.3676567077637,8050315
296,3600,-15.6862,10,30,56,33,5,30,61,29,26.3676567077637,8050315
297,3600,-106.7773,25,30,15,15,30,12,24,15,25.9638748168945,8050315
298,4500,-44.4689,14,30,55,43,30,26,35,16,26.3676567077637,8050315
299,7200,-260.1215,13,20,58,63,30,23,42,25,25.0247287750244,8050297
300,9000,-44.8304,19,30,33,22,16,30,27,23,47.3009414672852,8050297
301,2700,-108.5581,30,30,62,31,30,28,66,45,24.8130264282227,8050322
302,4500,-13.3523,30,30,15,63,20,24,17,15,25.8053112030029,8050315
303,7200,-259.2075,30,5,50,15,11,30,23,48,31.9877109527588,8050322
304,4500,-85.5727,30,5,15,15,25,30,32,26,23.0161209106445,8050315
305,8100,-390.9629,14,30,54,15,30,30,15,62,31.9877109527588,8050322
306,4500,-71.3368,30,18,44,58,29,16,27,42,25.8053112030029,8050315
307,5400,-71.5334,20,5,41,44,20,30,31,23,25.8053112030029,8050315
308,5400,-58.1442,30,30,68,45,30,30,63,36,23.0161209106445,8050315
309,5400,-146.6746,30,30,22,31,29,30,30,37,23.0161209106445,8050315
310,3600,-184.7701,30,30,44,15,11,25,29,53,23.9636917114258,8050322
311,8100,-314.8421,30,30,61,62,29,30,33,48,47.3009414672852,8050297
312,9900,-1762.2629,30,11,34,44,17,14,52,17,59.1184997558594,8050297
313,4500,-40.3923,30,30,15,67,25,24,27,49,23.9636917114258,8050322
314,5400,-50.5566,14,30,58,29,30,14,56,22,26.5685062408447,8050315
315,6300,-432.209,30,30,46,55,30,30,45,21,26.5685062408447,8050315
316,6300,-498.3395,14,30,42,15,30,30,67,40,26.5685062408447,8050315
317,10800,-2874.7434,30,30,46,15,30,30,31,23,52.7819595336914,8050297
318,9000,-546.8588,30,30,55,32,6,30,33,69,47.3009414672852,8050297
319,6300,-710.4904,30,5,15,43,14,30,24,67,24.5475311279297,8050315
320,9000,-1816.0743,30,30,15,30,5,30,57,61,26.4149417877197,8050322
321,9900,-59.2378,30,5,37,29,8,30,31,30,26.4149417877197,8050322
322,7200,-171.2731,30,30,15,15,30,30,54,27,26.5685062408447,8050315
323,7200,-870.2531,30,23,15,15,30,18,51,56,24.5475311279297,8050315
324,6300,-812.0405,30,30,49,15,30,30,57,68,26.5685062408447,8050315
325,5400,-217.8303,26,30,62,63,30,19,49,47,23.8996238708496,8050322
326,7200,-181.0412,30,22,15,21,30,20,37,24,24.5475311279297,8050315
327,9900,-100.0427,29,30,48,47,16,30,54,52,59.1184997558594,8050297
328,8100,-616.2513,24,6,60,64,25,30,56,15,24.5475311279297,8050315
329,6300,-127.2262,30,5,18,49,30,30,43,44,23.8996238708496,8050322
330,8100,-272.378,19,30,68,15,30,18,66,47,24.5475311279297,8050315
331,7200,-116.639,30,30,15,15,13,28,15,53,24.5475311279297,8050315
332,11700,-2187.5762,30,30,54,59,8,30,44,58,40.6380348205566,8050297
333,7200,-514.6812,30,30,18,62,30,30,50,51,31.9877109527588,8050322
334,10800,-6385.6278,15,30,54,22,30,30,23,46,31.3536052703857,8050322
335,8100,-3213.9749,12,6,58,66,30,30,15,24,26.8067989349365,8050315
336,9000,-457.8307,30,30,26,20,30,30,35,55,26.8067989349365,8050315
337,9000,-26.796,30,30,69,65,30,30,39,33,26.8067989349365,8050315
338,8100,-2536.2895,30,23,54,22,30,30,68,55,28.5107021331787,8050315
339,9900,-4.8196,30,30,69,15,30,30,34,24,26.8067989349365,8050315
340,9000,-4322.4754,30,30,30,62,30,30,15,48,26.8067989349365,8050315
341,12600,-3510.6138,30,30,59,57,5,14,64,26,52.5205535888672,8050297
342,10800,-3869.4231,30,13,15,15,25,30,44,51,52.7819595336914,8050297
343,8100,-539.2188,29,30,65,58,27,30,32,57,33.8600654602051,8050322
344,9000,-1433.8478,30,30,15,15,30,19,68,42,26.8067989349365,8050315
345,9900,-66.8275,30,20,24,15,28,30,32,55,26.8067989349365,8050315
346,9900,-90.0134,30,5,15,47,30,21,15,41,26.8067989349365,8050315
347,11700,-7951.4014,27,20,46,18,30,29,18,21,37.0712890625,8050322
348,10800,-154.84,30,30,63,50,30,30,41,48,29.1964740753174,8050315
349,9900,-2684.3861,15,30,15,49,30,14,53,27,28.163293838501,8050315
350,10800,-1797.0691,30,30,61,21,16,25,31,57,28.163293838501,8050315
351,9000,-839.7625,20,30,21,39,13,10,60,56,31.3536052703857,8050322
352,12600,-3.9369,14,30,41,40,30,30,37,59,36.1084060668945,8050322
353,10800,-89.5048,30,30,40,49,30,30,30,43,24.3637142181396,8050315
354,11700,-2693.481,30,30,46,22,14,30,21,48,24.3637142181396,8050315
355,11700,-3675.6408,30,30,22,60,30,30,37,34,52.5205535888672,8050297
356,10800,-429.0054,30,30,15,17,7,30,40,57,28.163293838501,8050315
357,13500,-11042.581,9,30,55,27,16,14,44,24,60.4634284973145,8050297
