time,distance,speed,id
8,23.8368152597924,53.6328343345329,11
8.8,35.7552228896886,53.6328343345329,11
9.6,47.6736305195848,53.6328343345329,11
10.4,59.592038149481,53.6328343345329,11
11.2,71.5104457793772,53.6328343345329,11
12,83.4288534092734,53.6328343345329,11
12.8,95.3472610391696,53.6328343345329,11
13.6,107.265668669066,53.6328343345329,11
14.4,119.184076298962,53.6328343345329,11
15.2,131.102483928858,53.6328343345329,11
16,143.020891558754,53.6328343345329,11
16.8,154.939299188651,53.6328343345329,11
17.6,166.857706818547,53.6328343345329,11
18.4,178.776114448443,53.6328343345329,11
19.2,190.694522078339,53.6328343345329,11
20,202.612929708235,53.6328343345329,11
20.8,214.531337338132,53.6328343345329,11
21.6,226.449744968028,53.6328343345329,11
22.4,238.368152597924,53.6328343345329,11
23.2,250.28656022782,53.6328343345329,11
23.2,24.6567448815253,55.4776759834318,30
24,262.204967857716,53.6328343345329,11
24,36.9851173222879,55.4776759834318,30
24.8,274.123375487613,53.6328343345329,11
24.8,49.3134897630505,55.4776759834318,30
25.6,286.041783117509,53.6328343345329,11
25.6,61.6418622038131,55.4776759834318,30
26.4,297.960190747405,53.6328343345329,11
26.4,73.9702346445758,55.4776759834318,30
27.2,309.878598377301,53.6328343345329,11
27.2,86.2986070853384,55.4776759834318,30
28,321.797006007197,53.6328343345329,11
28,98.626979526101,55.4776759834318,30
28.8,333.559609971341,52.2306013427605,11
28.8,110.955351966864,55.4776759834318,30
29.6,344.219033469879,43.7042101440799,11
29.6,123.283724407626,55.4776759834318,30
30.4,352.959748350266,34.9622237794052,11
30.4,135.612096848389,55.4776759834318,30
31.2,359.794330123136,26.5490121764226,11
31.2,147.940469289151,55.4776759834318,30
32,364.821931296886,18.6993983873264,11
32,160.268841729914,55.4776759834318,30
32.8,368.207680908575,11.7723481178794,11
32.8,172.597214170677,55.4776759834318,30
33.6,370.218297682468,6.32320284715135,11
33.6,184.925586611439,55.4776759834318,30
34.4,371.24092113506,2.88040822618042,11
34.4,197.253959052202,55.4776759834318,30
35.2,371.699544021638,1.24719775302375,11
35.2,209.582331492965,55.4776759834318,30
36,371.900334090849,0.559912869874816,11
36,221.910703933727,55.4776759834318,30
36.8,371.990966136501,0.255775540995705,11
36.8,234.23907637449,55.4776759834318,30
37.6,372.032637148048,0.119263562925716,11
37.6,246.567448815252,55.4776759834318,30
38.4,372.052131721766,0.056187600534465,11
38.4,258.895821256015,55.4776759834318,30
39.2,372.058374788492,0,11
39.2,271.224193696778,55.4776759834318,30
40,372.064071382876,0.051269349453397,11
40,283.55256613754,55.4776759834318,30
40,12.7796512790995,57.5084307559481,61
40.8,372.06976797726,0,11
40.8,295.880938578303,55.4776759834318,30
40.8,25.5593025581991,57.5084307559481,61
41.6,372.06976797726,0,11
41.6,308.209311019066,55.4776759834318,30
41.6,38.3389538372987,57.5084307559481,61
42.4,372.06976797726,0,11
42.4,320.537683459828,55.4776759834318,30
42.4,51.1186051163982,57.5084307559481,61
42.4,3.13427442093522,30.9276812785189,62
42.4,176.954227175037,56.8781444491192,53
43.2,372.06976797726,0,11
43.2,331.961478200356,47.3364766813202,30
43.2,63.8982563954978,57.5084307559481,61
43.2,11.4555871118008,37.4459071088951,62
43.2,189.593814830397,56.8781444491192,53
44,372.06976797726,0,11
44,341.413237324229,37.7293554335329,30
44,76.6779076745974,57.5084307559481,61
44,20.9082406655792,42.5369409920028,62
44,202.233402485757,56.8781444491192,53
44.8,372.06976797726,0,11
44.8,348.762563218368,28.4145776137177,30
44.8,89.457558953697,57.5084307559481,61
44.8,31.1847780546606,46.2444182508663,62
44.8,214.872990141117,56.8781444491192,53
45.6,372.06976797726,0,11
45.6,354.111332455325,19.7243455188953,30
45.6,102.237210232797,57.5084307559481,61
45.6,42.0315581421948,48.8105103939037,62
45.6,227.512577796477,56.8781444491192,53
46.4,372.06976797726,0,11
46.4,357.645501450054,12.0831754336709,30
46.4,115.016861511896,57.5084307559481,61
46.4,53.259296691621,50.5248234724178,62
46.4,240.152165451836,56.8781444491192,53
47.2,372.06976797726,0,11
47.2,359.672773992168,6.16227744535191,30
47.2,127.796512790996,57.5084307559481,61
47.2,64.7355441673889,51.6431136409559,62
47.2,252.791753107196,56.8781444491192,53
48,372.06976797726,0,11
48,360.645464581679,2.59193786024896,30
48,140.576164070095,57.5084307559481,61
48,76.3713817818059,52.3612692648765,62
48,265.431340762556,56.8781444491192,53
48.8,372.06976797726,0,11
48.8,361.049384139878,1.04333816354291,30
48.8,153.355815349195,57.5084307559481,61
48.8,88.1086760512204,52.8178242123651,62
48.8,278.070928417916,56.8781444491192,53
49.6,372.06976797726,0,11
49.6,361.214229028801,0.440265836764047,30
49.6,166.135466628294,57.5084307559481,61
49.6,99.9100550353174,53.1062054284363,62
49.6,290.710516073276,56.8781444491192,53
50.4,372.06976797726,0,11
50.4,361.284109370267,0.188657236426294,30
50.4,178.915117907394,57.5084307559481,61
50.4,111.751747953883,53.2876181335451,62
50.4,303.350103728636,56.8781444491192,53
51.2,372.06976797726,0,11
51.2,361.314262743744,0.082723124864812,30
51.2,191.694769186494,57.5084307559481,61
51.2,123.618736107941,53.4014466932612,62
51.2,315.989691383995,56.8781444491192,53
52,372.06976797726,0,11
52,361.327517884569,0.036573142564218,30
52,204.474420465593,57.5084307559481,61
52,135.501570296101,53.4727538467195,62
52,328.629279039355,56.8781444491192,53
52.8,372.06976797726,0,11
52.8,361.331581567076,0,30
52.8,217.254071744693,57.5084307559481,61
52.8,147.394321079907,53.5173785271254,62
