,training_iteration,episode_reward_max,five_min
0,1,-7.903206564604966,-8.45134516844695
1,2,-8.31770509620795,-8.768098878629072
2,3,-8.870010872965755,-8.312070111965593
3,4,-8.443996150864981,-8.503087308008377
4,5,-8.132507824580152,-8.137488431433285
5,6,-8.30291876507623,-8.484574688017855
6,7,-7.8546847940595015,-8.52299587886004
7,8,-8.351908348601606,-8.690715869176527
8,9,-7.691813480925886,-8.51894543804498
9,10,-8.119203525647931,-8.424970410258576
10,11,-8.087531828537001,-8.503540430061715
11,12,-8.057922322322728,-8.497808603901436
12,13,-7.77125733855548,-8.249653399724206
13,14,-7.964961692445788,-8.584803136345874
14,15,-8.484459313669678,-8.083593607459123
15,16,-8.62052228309669,-8.439336675696783
16,17,-8.747325294711898,-8.347458872822681
17,18,-7.509359219896185,-8.294711415200393
18,19,-8.326239055361842,-8.503298165986312
19,20,-7.762362575952576,-8.542347109701435
20,21,-8.344364753940585,-8.297630821295611
21,22,-7.884038728570127,-8.437319110741766
22,23,-8.640437420088697,-8.617121498480127
23,24,-8.145717293191886,-8.764466082395511
24,25,-7.74856769593473,-8.25512502700131
25,26,-8.029631483046343,-8.779027208655139
26,27,-7.738679490079445,-8.520095687806462
27,28,-8.64315496866651,-8.601477155965622
28,29,-8.230854082767078,-8.232440332444751
29,30,-7.525400371907484,-8.43505622241375
30,31,-8.461419009395946,-8.600865596321054
31,32,-8.221975245953255,-8.410977971667736
32,33,-8.674285664345359,-8.343693468581174
33,34,-8.077775896858382,-8.230548550467136
34,35,-7.945294542740907,-8.374715632851439
35,36,-8.347857199121465,-8.481771863939974
36,37,-8.197155984631356,-8.241117849862249
37,38,-7.869244293056757,-8.368036221699207
38,39,-7.838968858659353,-8.26093984922379
39,40,-8.369558559939602,-8.477028401392053
40,41,-8.011883804068134,-8.292015046605302
41,42,-7.6163257839903835,-8.41597875833945
42,43,-7.958789922844684,-8.295882886856601
43,44,-7.74086264750295,-8.38512797384445
44,45,-8.164294618625178,-8.339215706461964
45,46,-8.259455645422518,-8.50720170284858
46,47,-8.719961597120793,-8.491199644537902
