,time,delay_time,min,max
0,2021-06-19 14:30:00,42.21,37.54149837787674,53.75921002021647
1,2021-06-19 15:00:00,41.37,36.71151206478209,48.88016643127838
2,2021-06-19 15:30:00,42.44,37.528883855064116,53.63817358021912
3,2021-06-19 16:00:00,41.34,36.5133372698373,46.17924400692328
4,2021-06-19 16:30:00,51.32,45.580739889011234,66.2780770420936
5,2021-06-19 17:00:00,50.63,44.892367156292806,59.34372935164498
6,2021-06-19 17:30:00,53.57,47.5998589976014,67.78023745004137
7,2021-06-19 18:00:00,52.59,46.28002133984087,67.51044671274717
8,2021-06-19 18:30:00,48.93,43.48454197763155,62.360634489146385
9,2021-06-19 19:00:00,49.36,43.5644211961755,57.49671649139215
10,2021-06-19 19:30:00,44.32,39.10462493181512,55.4655623977543
11,2021-06-19 20:00:00,40.73,35.98119408085485,50.530278390199285
12,2021-06-19 20:30:00,36.99,32.73934883335613,45.56637604518042
13,2021-06-19 21:00:00,36.91,32.64679516504342,42.51733229535065
