time,delay_time
300,22.18
600,28.26
900,24.84
1200,24.54
1500,25.39
1800,22.35
2100,25.79
2400,27.23
2700,27.6
3000,30.74
3300,27.68
3600,30.04
3900,28.84
4200,33.47
4500,31.07
4800,31.91
5100,33.2
5400,32.1
5700,39.35
6000,38.73
6300,41.17
6600,38.35
6900,39.76
7200,35.99
7500,43.1
7800,50.96
8100,52.79
8400,56.16
8700,54.19
9000,50.18
9300,55.93
9600,61.28
9900,67.86
10200,77.39
10500,77.72
10800,79.02
11100,70.87
11400,73.4
11700,72.5
12000,66.32
12300,72.66
12600,68.78
12900,65.3
13200,68.08
13500,68.38
13800,78.98
14100,68.64
14400,63.98
14700,63.45
15000,54.65
15300,55.65
15600,49.8
15900,52.17
16200,45.82
16500,40.17
16800,39.54
17100,44.18
17400,40.43
17700,40.17
18000,41.86
18300,34.54
18600,37
18900,40.91
19200,36.33
19500,39.27
19800,36.97
20100,37.17
20400,38.39
20700,37.39
21000,35.8
21300,39.31
21600,35.12
