time,delay_time
300,25
600,22.63
900,22.11
1200,26.37
1500,28.21
1800,25.41
2100,24.73
2400,26.1
2700,24.85
3000,30.56
3300,31.93
3600,32.03
3900,31.14
4200,35.97
4500,37.77
4800,29.05
5100,35.85
5400,31.58
5700,48.35
6000,50.36
6300,43.59
6600,43.64
6900,45.74
7200,45.02
7500,40.55
7800,54.13
8100,57.96
8400,65.07
8700,71.21
9000,76.51
9300,84.66
9600,88.57
9900,90.44
10200,82.21
10500,91.24
10800,95.2
11100,99.5
11400,109.14
11700,86.67
12000,74.88
12300,71.43
12600,81.34
12900,87.64
13200,92.24
13500,77.28
13800,73.86
14100,71.25
14400,69.01
14700,79.59
15000,66.62
15300,54.1
15600,55.38
15900,49.74
16200,49.51
16500,45.19
16800,41.7
17100,46.2
17400,42.67
17700,44
18000,49.66
18300,44.67
18600,38.02
18900,40.98
19200,40.36
19500,42.73
19800,41.77
20100,38.95
20400,42.6
20700,40.27
21000,43.74
21300,39.15
21600,38.72
