time,delay_time
300,39.48
600,41.48
900,40.01
1200,41.48
1500,44.21
1800,43.91
2100,38.17
2400,41.87
2700,41.88
3000,43.94
3300,42.48
3600,43.47
3900,41.7
4200,43.03
4500,39.46
4800,44.02
5100,43.85
5400,43.15
5700,44
6000,47.29
6300,40.88
6600,41.24
6900,43.21
7200,42.18
7500,43.21
7800,42.12
8100,43.21
8400,42.71
8700,43.75
9000,42.82
9300,42.14
9600,44.38
9900,45.49
10200,44.96
10500,40.79
10800,45.22
11100,44.57
11400,43.89
11700,43.67
12000,45.45
12300,47.22
12600,44.73
12900,44.11
13200,44.49
13500,45.83
13800,43.76
14100,40.12
14400,46.61
14700,41.16
15000,45.61
15300,42.15
15600,59.75
15900,50.34
16200,40.33
16500,42.57
16800,41.81
17100,41.13
17400,45.09
17700,43.63
18000,39.82
18300,40.28
18600,37.18
18900,38.11
19200,39.57
19500,45.94
19800,40.97
20100,39.81
20400,40.78
20700,38.75
21000,36.72
21300,40.64
21600,40.18
21900,40.44
22200,36.62
22500,40.32
22800,38.35
23100,40.51
23400,37.75
23700,41.58
24000,30.98
24300,29.7
24600,29.26
24900,31.63
25200,28.17
